delta;theta;resp;error;rt;obs;block;cond;study;experiment;stimulus;expnum;stimtype;studynum;code;obsid;outliers_q;outliers_sd;outliers_rt;error_iqr;errorsd;theta_cent;stim_bias_peak;error_ori_deb;error_ori_deb_sd_deb;sd_bias_peak;error_norm;error_iqr_norm;error_ori_deb_norm;error_ori_deb_sd_deb_norm;bin;codenum
59;160;173;13;2.29150867462158;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;13;13;70;17.2149689623588;12.5016354554014;9.29778816901768;10.5089789300228;0.675058088193218;0.896851518445551;1.00024266483033;0.767995381682939;NaN;1
48;170;171;0.999999999999989;2.84200549125671;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;0.999999999999989;0.999999999999989;80;17.2149689623588;11.0307905566379;0.603372443896957;10.5089789300228;0.0347091776720536;0.0613660815112582;0.882561916072317;0.0311691900434622;2;1
41;150;163.5;13.5;4.67462348937988;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;13.5;13.5;60;17.2149689623588;13.131242828781;4.13697882066499;10.5089789300228;0.701739292798266;0.931663411651145;1.05061688660256;0.330631950010672;2;1
-64;61;61.5;0.500000000000008;3.7828516960144;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;0.500000000000008;0.500000000000008;-29;17.2149689623588;7.37285785247237;11.9041594778194;10.5089789300228;0.00802797306700615;0.026554188305664;0.589894579159713;0.988877693522944;NaN;1
-82;158;147;-11;7.10818767547607;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-11;-11;68;17.2149689623588;-12.7681925866404;-9.98883640506959;10.5089789300228;-0.605639732849109;-0.774119355423032;-1.02156961971004;-0.866489393808717;3;1
30;106;148.5;42.5;3.09983849525452;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;1;0;0;NaN;42.5;16;17.2149689623588;NaN;NaN;10.5089789300228;2.24924915989108;NaN;NaN;NaN;NaN;1
80;178;135;-43;5.68307948112488;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;1;0;0;NaN;-43;88;17.2149689623588;NaN;NaN;10.5089789300228;-2.31323682757221;NaN;NaN;NaN;3;1
-39;121;112.5;-8.5;3.16619443893433;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-8.5;-8.5;31;17.2149689623588;-6.42949938485198;-2.861417212983;10.5089789300228;-0.472233709823867;-0.600059889395055;-0.514417463312827;-0.26246155507199;NaN;1
-49;51;48.5;-2.50000000000001;2.44123363494873;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-2.50000000000001;-2.50000000000001;-39;17.2149689623588;4.18854888431981;7.63297375499157;10.5089789300228;-0.152059254563285;-0.18231717092791;0.335121377740543;0.626907250719851;2;1
-75;63;52.5;-10.5;2.17467856407166;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-10.5;-10.5;-27;17.2149689623588;-4.24511000895168;2.56506099512519;10.5089789300228;-0.57895852824406;-0.739307462217436;-0.339646773656094;0.197416532025053;NaN;1
19;64;33.5;-30.5;2.48321413993835;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-30.5;-30.5;-26;17.2149689623588;-24.4645389215482;-22.3405802512883;10.5089789300228;-1.646206712446;-2.13178319044126;-1.95738195150795;-1.91326339979741;NaN;1
42;29;45.5;16.5;1.94130277633667;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;16.5;16.5;-61;17.2149689623588;10.4978916496038;1.03264108798549;10.5089789300228;0.861826520428556;1.14053477088472;0.839925236674771;0.0675484465931714;2;1
2;150;152.5;2.5;3.48303151130676;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;2.5;2.5;60;17.2149689623588;2.13124282878098;-0.161838225733581;10.5089789300228;0.1147527914872;0.165801761128045;0.170518490485928;-0.033680166294158;1;1
-73;28;35.5;7.5;2.26653790473938;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;7.5;7.5;-62;17.2149689623588;1.4129866776524;8.46374445680294;10.5089789300228;0.381564837537684;0.513920693184;0.113051573521459;0.697312627193015;NaN;1
-41;151;163;12;3.16635227203369;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;12;12;61;17.2149689623588;11.071305671021;14.8353221722304;10.5089789300228;0.621695678983121;0.82722773203436;0.885803487634779;1.23728512117314;2;1
-7;38;37.5;-0.5;3.24136972427368;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-0.5;-0.5;-52;17.2149689623588;-5.30224071006297;-6.50742397275333;10.5089789300228;-0.0453344361430912;-0.0430695981055275;-0.42422668588643;-0.57144991730677;1;1
-1;167;160;-7;3.40801239013672;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-7;-7;77;17.2149689623588;0.331608946792339;-2.06993387162474;10.5089789300228;-0.392190096008721;-0.495624209778268;0.0265316820190785;-0.1953856669851;1;1
20;70;52.5;-17.5;2.94138073921204;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-17.5;-17.5;-20;17.2149689623588;-10.5010723723438;-8.40375221375826;10.5089789300228;-0.952495392714739;-1.22667396709577;-0.840179722945855;-0.732158165002005;NaN;1
-16;24;36;12;2.04970502853394;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;12;12;-66;17.2149689623588;4.78772503694843;6.30777812872347;10.5089789300228;0.62169567898312;0.827227732034359;0.383060829642341;0.514600814341475;NaN;1
-22;133;129;-4;4.44985151290894;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-4;-4;43;17.2149689623588;-3.61521677497031;-1.41251261224202;10.5089789300228;-0.232102868378431;-0.286752850544696;-0.289249680478664;-0.139671146519486;NaN;1
-2;172;159.5;-12.5;2.44147944450378;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-12.5;-12.5;82;17.2149689623588;-1.68498753602126;-4.00664752044824;10.5089789300228;-0.685683346664255;-0.87855503503982;-0.134814075266257;-0.359516459355165;1;1
10;42;39.5;-2.5;1.73323798179626;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-2.5;-2.5;-48;17.2149689623588;-4.43904170064238;-4.43106228565328;10.5089789300228;-0.152059254563285;-0.182317170927909;-0.355163043730018;-0.395484363928448;1;1
43;172;22;30;4.22456765174866;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;30;30;82;17.2149689623588;40.8150124639787;30.9542693417801;10.5089789300228;1.58221904476486;2.0804558874358;3.265566091548;2.60331854212647;2;1
22;74;66;-8;3.39151382446289;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-8;-8;-16;17.2149689623588;1.45337549573214;3.2955767250813;10.5089789300228;-0.445552505218818;-0.56524799618946;0.116283040249916;0.259325594146512;NaN;1
-50;144;146;2;2.08302545547485;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;2;2;54;17.2149689623588;4.48852644173339;7.79837323016982;10.5089789300228;0.0880715868821513;0.13098986792245;0.359122265663332;0.640924370357072;2;1
-78;74;65;-9.00000000000001;3.18315768241882;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-9.00000000000001;-9.00000000000001;-16;17.2149689623588;0.453375495732137;6.08853553636598;10.5089789300228;-0.498914914428915;-0.634871782600651;0.0362740951484034;0.496020648695015;NaN;1
-1;37;28.5;-8.5;2.14178776741028;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-8.5;-8.5;-53;17.2149689623588;-13.7296327801463;-16.1311755985634;10.5089789300228;-0.472233709823867;-0.600059889395055;-1.09849343537064;-1.38703459647523;1;1
60;26;34;8.00000000000001;3.18326759338379;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;8.00000000000001;8.00000000000001;-64;17.2149689623588;1.52525667858175;-0.750639046476663;10.5089789300228;0.408246042142733;0.548732586389596;0.122034177862362;-0.0835793061672171;NaN;1
-26;172;148;-24;2.19220662117004;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-24;-24;82;17.2149689623588;-13.1849875360212;-10.8983105057588;10.5089789300228;-1.29935105258037;-1.67922857876851;-1.05491694393364;-0.943564652134516;NaN;1
