obs;delta;resp;error;theta;rt;study;experiment;stimulus
1;NaN;102.61;-172.39;275;38.52;Fischer et al. (2020);Experiment 4;Motion
1;-10;310.39;25.39;285;0.8994;Fischer et al. (2020);Experiment 4;Motion
1;170;134.65;19.65;115;0.93277;Fischer et al. (2020);Experiment 4;Motion
1;-140;287.15;32.15;255;1.0328;Fischer et al. (2020);Experiment 4;Motion
1;60;174.05;-20.95;195;2.099;Fischer et al. (2020);Experiment 4;Motion
1;80;83.906;-31.094;115;1.0494;Fischer et al. (2020);Experiment 4;Motion
1;-170;334.49;49.49;285;1.3826;Fischer et al. (2020);Experiment 4;Motion
1;0;120.19;-164.81;285;2.1158;Fischer et al. (2020);Experiment 4;Motion
1;160;145.98;20.98;125;1.1827;Fischer et al. (2020);Experiment 4;Motion
1;0;117.92;-7.08;125;1.7492;Fischer et al. (2020);Experiment 4;Motion
1;-10;123.31;-11.69;135;1.5826;Fischer et al. (2020);Experiment 4;Motion
1;40;124.44;29.44;95;1.4326;Fischer et al. (2020);Experiment 4;Motion
1;100;7.6535;12.6535;355;1.0328;Fischer et al. (2020);Experiment 4;Motion
1;80;266.74;-8.25999999999999;275;1.3326;Fischer et al. (2020);Experiment 4;Motion
1;60;202.96;-12.04;215;1.0994;Fischer et al. (2020);Experiment 4;Motion
1;170;30.047;-14.953;45;1.3993;Fischer et al. (2020);Experiment 4;Motion
1;80;327.4;2.39999999999998;325;0.8995;Fischer et al. (2020);Experiment 4;Motion
1;60;236.41;-28.59;265;0.94946;Fischer et al. (2020);Experiment 4;Motion
1;0;232.44;-32.56;265;1.8324;Fischer et al. (2020);Experiment 4;Motion
1;-10;259.09;-15.91;275;0.78282;Fischer et al. (2020);Experiment 4;Motion
1;-90;357.73;-7.26999999999998;5;1.3159;Fischer et al. (2020);Experiment 4;Motion
1;-60;45.071;-19.929;65;0.78281;Fischer et al. (2020);Experiment 4;Motion
1;-70;148.54;13.54;135;1.7159;Fischer et al. (2020);Experiment 4;Motion
1;-60;173.76;-21.24;195;2.7654;Fischer et al. (2020);Experiment 4;Motion
1;-100;322.3;27.3;295;1.8824;Fischer et al. (2020);Experiment 4;Motion
1;-30;6.5197;41.5197;325;1.1494;Fischer et al. (2020);Experiment 4;Motion
1;160;128.41;-36.59;165;1.1493;Fischer et al. (2020);Experiment 4;Motion
1;-100;274.68;9.68000000000001;265;1.1327;Fischer et al. (2020);Experiment 4;Motion
1;40;204.66;-20.34;225;2.3823;Fischer et al. (2020);Experiment 4;Motion
1;90;134.65;-0.349999999999994;135;1.5826;Fischer et al. (2020);Experiment 4;Motion
1;-20;163.28;8.28;155;1.6825;Fischer et al. (2020);Experiment 4;Motion
1;20;121.61;-13.39;135;1.166;Fischer et al. (2020);Experiment 4;Motion
1;-160;301.89;6.88999999999999;295;0.59957;Fischer et al. (2020);Experiment 4;Motion
1;-30;0.28346;35.28346;325;1.0661;Fischer et al. (2020);Experiment 4;Motion
1;-30;20.693;25.693;355;0.99947;Fischer et al. (2020);Experiment 4;Motion
1;150;7.0866;162.0866;205;1.8159;Fischer et al. (2020);Experiment 4;Motion
1;-160;3.9685;-1.0315;5;0.69953;Fischer et al. (2020);Experiment 4;Motion
1;-130;137.48;2.47999999999999;135;2.299;Fischer et al. (2020);Experiment 4;Motion
1;-120;219.97;-35.03;255;2.9988;Fischer et al. (2020);Experiment 4;Motion
1;-90;345.26;0.259999999999991;345;1.0327;Fischer et al. (2020);Experiment 4;Motion
1;-150;151.09;16.09;135;1.4325;Fischer et al. (2020);Experiment 4;Motion
1;-160;316.35;21.35;295;2.049;Fischer et al. (2020);Experiment 4;Motion
1;-160;86.74;-8.26000000000001;95;1.0327;Fischer et al. (2020);Experiment 4;Motion
1;0;125.86;30.86;95;2.2989;Fischer et al. (2020);Experiment 4;Motion
1;-90;174.05;-10.95;185;2.7488;Fischer et al. (2020);Experiment 4;Motion
1;150;34.866;-0.134;35;1.3326;Fischer et al. (2020);Experiment 4;Motion
1;-60;93.543;-1.45699999999999;95;2.0657;Fischer et al. (2020);Experiment 4;Motion
1;-90;175.46;-9.53999999999999;185;1.6159;Fischer et al. (2020);Experiment 4;Motion
1;-90;271.28;-3.72000000000003;275;1.6325;Fischer et al. (2020);Experiment 4;Motion
1;0;247.46;-27.54;275;0.76614;Fischer et al. (2020);Experiment 4;Motion
1;10;177.45;-87.55;265;1.166;Fischer et al. (2020);Experiment 4;Motion
1;20;207.5;-37.5;245;1.0993;Fischer et al. (2020);Experiment 4;Motion
1;-60;12.189;67.189;305;1.0661;Fischer et al. (2020);Experiment 4;Motion
1;100;219.4;14.4;205;1.8159;Fischer et al. (2020);Experiment 4;Motion
1;-140;1.1339;16.1339;345;1.4993;Fischer et al. (2020);Experiment 4;Motion
1;160;176.6;-8.40000000000001;185;1.6992;Fischer et al. (2020);Experiment 4;Motion
1;-20;183.12;-21.88;205;1.9658;Fischer et al. (2020);Experiment 4;Motion
1;170;352.91;-42.09;35;1.5659;Fischer et al. (2020);Experiment 4;Motion
1;150;233.57;-11.43;245;1.0328;Fischer et al. (2020);Experiment 4;Motion
1;130;98.929;-16.071;115;1.4492;Fischer et al. (2020);Experiment 4;Motion
1;-170;282.05;-2.94999999999999;285;0.016412;Fischer et al. (2020);Experiment 4;Motion
1;50;234.43;-0.569999999999993;235;1.066;Fischer et al. (2020);Experiment 4;Motion
1;-160;51.307;16.307;35;0.81615;Fischer et al. (2020);Experiment 4;Motion
1;40;187.94;-167.06;355;1.2161;Fischer et al. (2020);Experiment 4;Motion
1;-10;359.72;-5.27999999999997;5;1.4159;Fischer et al. (2020);Experiment 4;Motion
1;0;1.9843;-3.0157;5;2.0824;Fischer et al. (2020);Experiment 4;Motion
1;80;257.67;-27.33;285;0.88278;Fischer et al. (2020);Experiment 4;Motion
1;130;121.61;-33.39;155;2.0658;Fischer et al. (2020);Experiment 4;Motion
1;100;41.386;-13.614;55;1.266;Fischer et al. (2020);Experiment 4;Motion
1;130;311.81;26.81;285;1.0994;Fischer et al. (2020);Experiment 4;Motion
1;60;201.26;-23.74;225;1.6492;Fischer et al. (2020);Experiment 4;Motion
1;-130;141.45;146.45;355;1.1494;Fischer et al. (2020);Experiment 4;Motion
1;-100;90.992;-4.008;95;1.3326;Fischer et al. (2020);Experiment 4;Motion
1;80;88.441;73.441;15;1.116;Fischer et al. (2020);Experiment 4;Motion
1;130;213.17;-31.83;245;1.9157;Fischer et al. (2020);Experiment 4;Motion
1;130;144.85;29.85;115;1.0328;Fischer et al. (2020);Experiment 4;Motion
1;140;358.87;23.87;335;1.2827;Fischer et al. (2020);Experiment 4;Motion
1;30;310.68;5.68000000000001;305;2.1657;Fischer et al. (2020);Experiment 4;Motion
1;120;180;-5;185;3.132;Fischer et al. (2020);Experiment 4;Motion
1;80;94.394;-10.606;105;0.83282;Fischer et al. (2020);Experiment 4;Motion
1;-120;204.94;-20.06;225;1.7492;Fischer et al. (2020);Experiment 4;Motion
1;40;219.4;34.4;185;1.5492;Fischer et al. (2020);Experiment 4;Motion
1;170;15.591;0.590999999999999;15;1.0494;Fischer et al. (2020);Experiment 4;Motion
1;40;357.17;22.17;335;1.3493;Fischer et al. (2020);Experiment 4;Motion
1;-110;84.756;-0.244;85;1.0826;Fischer et al. (2020);Experiment 4;Motion
1;10;54.142;-20.858;75;0.81616;Fischer et al. (2020);Experiment 4;Motion
1;-130;231.87;26.87;205;1.0827;Fischer et al. (2020);Experiment 4;Motion
1;90;137.76;22.76;115;0.66625;Fischer et al. (2020);Experiment 4;Motion
1;-110;207.78;-17.22;225;1.4659;Fischer et al. (2020);Experiment 4;Motion
1;120;152.22;47.22;105;0.88278;Fischer et al. (2020);Experiment 4;Motion
1;120;23.244;38.244;345;0.59956;Fischer et al. (2020);Experiment 4;Motion
1;-70;3.1181;-51.8819;55;2.0824;Fischer et al. (2020);Experiment 4;Motion
1;-80;140.6;5.59999999999999;135;2.9821;Fischer et al. (2020);Experiment 4;Motion
1;-100;211.75;-23.25;235;3.332;Fischer et al. (2020);Experiment 4;Motion
1;100;61.795;-73.205;135;1.1993;Fischer et al. (2020);Experiment 4;Motion
1;30;141.45;36.45;105;3.3819;Fischer et al. (2020);Experiment 4;Motion
1;0;90.992;-14.008;105;1.0993;Fischer et al. (2020);Experiment 4;Motion
1;-160;208.91;-56.09;265;1.9491;Fischer et al. (2020);Experiment 4;Motion
1;-100;7.937;2.937;5;1.8324;Fischer et al. (2020);Experiment 4;Motion
1;140;193.32;-31.68;225;0.99936;Fischer et al. (2020);Experiment 4;Motion
1;160;23.811;-41.189;65;1.4659;Fischer et al. (2020);Experiment 4;Motion
1;-160;207.78;-17.22;225;0.78277;Fischer et al. (2020);Experiment 4;Motion
1;-140;16.441;11.441;5;1.1661;Fischer et al. (2020);Experiment 4;Motion
1;0;1.1339;-3.8661;5;0.7495;Fischer et al. (2020);Experiment 4;Motion
1;10;172.63;177.63;355;1.6326;Fischer et al. (2020);Experiment 4;Motion
1;30;0.85039;35.85039;325;1.1327;Fischer et al. (2020);Experiment 4;Motion
1;-40;0.28346;-4.71654;5;0.93275;Fischer et al. (2020);Experiment 4;Motion
1;-50;19.559;-35.441;55;2.249;Fischer et al. (2020);Experiment 4;Motion
1;170;228.76;-16.24;245;1.0495;Fischer et al. (2020);Experiment 4;Motion
1;-170;40.535;-14.465;55;1.1494;Fischer et al. (2020);Experiment 4;Motion
1;40;1.1339;-13.8661;15;0.54947;Fischer et al. (2020);Experiment 4;Motion
1;-130;178.87;33.87;145;2.5322;Fischer et al. (2020);Experiment 4;Motion
1;110;43.087;8.087;35;0.98279;Fischer et al. (2020);Experiment 4;Motion
1;150;208.91;-36.09;245;1.0828;Fischer et al. (2020);Experiment 4;Motion
1;70;153.35;-21.65;175;1.5326;Fischer et al. (2020);Experiment 4;Motion
1;-40;188.22;-26.78;215;1.9658;Fischer et al. (2020);Experiment 4;Motion
1;120;96.945;1.94499999999999;95;1.4326;Fischer et al. (2020);Experiment 4;Motion
1;0;86.74;-8.26000000000001;95;1.6992;Fischer et al. (2020);Experiment 4;Motion
1;70;83.339;58.339;25;0.71619;Fischer et al. (2020);Experiment 4;Motion
1;40;318.05;-26.95;345;1.0661;Fischer et al. (2020);Experiment 4;Motion
1;-70;69.165;14.165;55;0.58289;Fischer et al. (2020);Experiment 4;Motion
1;-160;147.4;-67.6;215;1.3993;Fischer et al. (2020);Experiment 4;Motion
1;-100;3.9685;48.9685;315;1.4493;Fischer et al. (2020);Experiment 4;Motion
1;90;216.28;-8.72;225;2.199;Fischer et al. (2020);Experiment 4;Motion
1;160;34.016;-30.984;65;1.2327;Fischer et al. (2020);Experiment 4;Motion
1;120;297.64;-7.36000000000001;305;0.68285;Fischer et al. (2020);Experiment 4;Motion
1;10;350.08;55.08;295;1.116;Fischer et al. (2020);Experiment 4;Motion
1;130;154.77;-10.23;165;0.61614;Fischer et al. (2020);Experiment 4;Motion
1;-20;184.82;-0.180000000000007;185;2.5489;Fischer et al. (2020);Experiment 4;Motion
1;-130;327.97;12.97;315;1.5325;Fischer et al. (2020);Experiment 4;Motion
1;-100;131.53;76.53;55;1.1994;Fischer et al. (2020);Experiment 4;Motion
1;50;348.09;-16.91;5;1.1494;Fischer et al. (2020);Experiment 4;Motion
1;-90;83.055;-11.945;95;2.7821;Fischer et al. (2020);Experiment 4;Motion
1;-140;157.89;-77.11;235;2.1324;Fischer et al. (2020);Experiment 4;Motion
1;150;91.559;6.559;85;0.81616;Fischer et al. (2020);Experiment 4;Motion
1;80;358.3;-6.69999999999999;5;0.49961;Fischer et al. (2020);Experiment 4;Motion
1;20;357.45;12.45;345;0.93282;Fischer et al. (2020);Experiment 4;Motion
1;160;274.11;89.11;185;0.96613;Fischer et al. (2020);Experiment 4;Motion
1;80;88.441;-16.559;105;1.316;Fischer et al. (2020);Experiment 4;Motion
1;20;85.89;0.890000000000001;85;1.7492;Fischer et al. (2020);Experiment 4;Motion
1;120;316.91;-8.08999999999997;325;1.1327;Fischer et al. (2020);Experiment 4;Motion
1;-110;86.173;11.173;75;1.166;Fischer et al. (2020);Experiment 4;Motion
1;-10;87.591;2.59099999999999;85;1.2826;Fischer et al. (2020);Experiment 4;Motion
1;70;65.197;50.197;15;1.4826;Fischer et al. (2020);Experiment 4;Motion
