obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;53;57;NaN;4;1;1;3.43847178498982;Kondo et al. (2022);Experiment 2;Orientation
1;112;120;-59;8;1;1;1.74617373303045;Kondo et al. (2022);Experiment 2;Orientation
1;160;143;-48;-17;1;1;2.42440331599209;Kondo et al. (2022);Experiment 2;Orientation
1;23;24;-43;1;1;1;1.3640942320344;Kondo et al. (2022);Experiment 2;Orientation
1;32;36;-9;4;1;1;3.40937053400557;Kondo et al. (2022);Experiment 2;Orientation
1;61;46;-29;-15;1;1;1.98178257601103;Kondo et al. (2022);Experiment 2;Orientation
1;155;150;86;-5;1;1;0.954012857982889;Kondo et al. (2022);Experiment 2;Orientation
1;158;41;-3;63;1;1;2.8255748230149;Kondo et al. (2022);Experiment 2;Orientation
1;40;60;-62;20;1;1;1.58898207900347;Kondo et al. (2022);Experiment 2;Orientation
1;161;172;59;11;1;1;2.14482927200152;Kondo et al. (2022);Experiment 2;Orientation
1;105;130;56;25;1;1;2.07184903899906;Kondo et al. (2022);Experiment 2;Orientation
1;93;113;12;20;1;1;1.44769871397875;Kondo et al. (2022);Experiment 2;Orientation
1;50;53;43;3;1;1;2.21907315903809;Kondo et al. (2022);Experiment 2;Orientation
1;62;41;-12;-21;1;1;1.22222210100153;Kondo et al. (2022);Experiment 2;Orientation
1;32;39;30;7;1;1;2.17758010502439;Kondo et al. (2022);Experiment 2;Orientation
1;31;36;1;5;1;1;1.63187109603314;Kondo et al. (2022);Experiment 2;Orientation
1;71;55;-40;-16;1;1;2.27342025900725;Kondo et al. (2022);Experiment 2;Orientation
1;7;29;64;22;1;1;4.73126293701353;Kondo et al. (2022);Experiment 2;Orientation
1;146;160;41;14;1;1;2.87461673299549;Kondo et al. (2022);Experiment 2;Orientation
1;59;47;87;-12;1;1;1.8366915450315;Kondo et al. (2022);Experiment 2;Orientation
1;106;124;-47;18;1;1;1.62283597997157;Kondo et al. (2022);Experiment 2;Orientation
1;110;121;-4;11;1;1;0.92307688301662;Kondo et al. (2022);Experiment 2;Orientation
1;88;107;22;19;1;1;1.77743687201291;Kondo et al. (2022);Experiment 2;Orientation
1;54;39;34;-15;1;1;1.63107447698712;Kondo et al. (2022);Experiment 2;Orientation
1;117;117;-63;0;1;1;2.60209116799524;Kondo et al. (2022);Experiment 2;Orientation
1;66;58;51;-8;1;1;2.30184722098056;Kondo et al. (2022);Experiment 2;Orientation
1;89;126;-23;37;1;1;2.51819953799713;Kondo et al. (2022);Experiment 2;Orientation
1;31;29;58;-2;1;1;2.64656002196716;Kondo et al. (2022);Experiment 2;Orientation
1;17;7;14;-10;1;1;1.74456724303309;Kondo et al. (2022);Experiment 2;Orientation
1;142;151;55;9;1;1;2.58236945897806;Kondo et al. (2022);Experiment 2;Orientation
1;113;35;29;-78;1;1;16.7725114490022;Kondo et al. (2022);Experiment 2;Orientation
1;141;139;-28;-2;1;1;1.43383266800083;Kondo et al. (2022);Experiment 2;Orientation
1;14;157;-53;-37;1;1;2.45247907796875;Kondo et al. (2022);Experiment 2;Orientation
1;153;162;41;9;1;1;2.24776362901321;Kondo et al. (2022);Experiment 2;Orientation
1;36;11;-63;-25;1;1;3.11289211298572;Kondo et al. (2022);Experiment 2;Orientation
1;49;38;-13;-11;1;1;3.21730460203253;Kondo et al. (2022);Experiment 2;Orientation
1;141;143;88;2;1;1;2.46911508805351;Kondo et al. (2022);Experiment 2;Orientation
1;82;49;59;-33;1;1;2.71028559398837;Kondo et al. (2022);Experiment 2;Orientation
1;143;145;-61;2;1;1;2.08638031495502;Kondo et al. (2022);Experiment 2;Orientation
1;158;146;-15;-12;1;1;1.83147624705452;Kondo et al. (2022);Experiment 2;Orientation
