delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
0;278.859922318917;285.154668593771;6.29474627485411;2.56783603700023;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;18.8599223189171;19.8497272314298;0.989804912512675;1.38308750699798;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
70;308.859922318917;309.689731138239;0.829808819321613;1.34778725800061;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
0;308.859922318917;309.575671598822;0.715749279905083;1.45053629199901;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
160;148.859922318917;144.20335144567;-4.65657087324666;1.72965678299806;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
40;108.859922318917;112.394570837232;3.53464851831448;1.30558912400011;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;248.859922318917;244.705213050985;-4.15470926793256;2.20026403299926;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;278.859922318917;286.396483270156;7.53656095123893;2.08285418199739;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;338.859922318917;340.120066795363;1.26014447644548;1.93328049499905;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;8.85992231891709;356.46944040674;-12.3904819121766;1.83370430099967;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;48.8599223189171;42.0158194017227;-6.84410291719436;1.84273911199853;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
80;328.859922318917;310.72982083605;-18.130101482867;1.3772985880023;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;348.859922318917;345.022160771769;-3.83776154714855;1.2198721019995;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
40;308.859922318917;310.725359740396;1.86543742147848;1.43340353799795;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
80;228.859922318917;234.300591896866;5.44066957794865;2.87198855199676;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
70;158.859922318917;143.101565211163;-15.7583571077537;1.85016865799844;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;268.859922318917;272.847469239173;3.98754692025585;2.34830025499832;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;18.8599223189171;17.8263642843936;-1.03355803452348;1.62403822700071;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;188.859922318917;191.925315174073;3.06539285515626;1.80095563500072;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
50;138.859922318917;125.158354223467;-13.7015680954497;2.01756594699691;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
90;48.8599223189171;56.3013440894117;7.44142177049464;1.61737373299911;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;208.859922318917;224.534636543507;15.67471422459;1.91854541800058;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;278.859922318917;251.60320737519;-27.2567149437269;3.79237460300283;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;338.859922318917;324.466827850669;-14.3930944682479;1.31178857499981;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;68.8599223189171;73.3054942254655;4.44557190654842;1.46391025900084;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;188.859922318917;196.812906996303;7.95298467738542;2.91513400600161;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
110;78.8599223189171;89.2322483404267;10.3723260215096;2.21535814100207;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;218.859922318917;222.046224954919;3.18630263600184;1.31675952099977;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;288.859922318917;286.164652385993;-2.69526993292402;1.53295419599817;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
120;168.859922318917;167.919890979274;-0.940031339643213;2.32575722600086;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
110;58.8599223189171;61.3205651908814;2.46064287196436;2.04166399300084;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;158.859922318917;139.269954178842;-19.5899681400751;1.95025316499959;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;278.859922318917;283.294192228042;4.43426990912445;1.77837889800139;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;298.859922318917;301.116516821564;2.25659450264709;1.96254820399918;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
150;148.859922318917;140.575273316241;-8.28464900267616;2.43881950600189;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
160;348.859922318917;352.764726528772;3.90480420985529;1.54181475299993;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;148.859922318917;156.21273662076;7.35281430184295;1.45816565000132;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
60;88.8599223189171;87.9387872325012;-0.921135086415916;2.50849886400101;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;238.859922318917;244.467905315853;5.60798299693624;2.5661525070027;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;28.8599223189171;38.4241724226394;9.56425010372229;1.89171141399856;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;48.8599223189171;38.8543646285686;-10.0055576903485;2.02524650499981;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
10;38.8599223189171;29.3461688477686;-9.51375347114849;2.2994332950002;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
150;248.859922318917;272.066917057179;23.2069947382618;1.34595482499935;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;338.859922318917;319.677436337046;-19.1824859818711;1.38749420699969;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
30;308.859922318917;313.487143962571;4.62722164365357;1.47492346800209;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;128.859922318917;136.635094768644;7.7751724497266;1.30790076199992;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-50;178.859922318917;176.819981620517;-2.03994069839999;2.89151583200146;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
160;18.8599223189171;27.7209227055163;8.86100038659925;1.90031091999845;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
120;258.859922318917;258.312119322634;-0.547802996283224;1.8912705219991;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
110;148.859922318917;143.915398871017;-4.94452344789966;1.43301743899792;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
-50;198.859922318917;199.464283646171;0.604361327254395;1.72662523399777;1;1;350;-180;Moon et al. (2023);Experiment 3;Motion
