nStim;nBlock;nTrial;inducer;target;resp;rt;bar_start;t1;t2;ISI1;ISI2;block;delta_targ;delta_ind;obs;error;errorc;error_out_after;error_removed;block_start_index;rtc;outsubj
2;1;1;64;123;117;1.37392230005935;114;0.249982731649652;0.24997819471173;2.00810574181378;2.00810673134401;1;NaN;-59;1;-6;-4.01818181818182;NaN;0;0;1.37392230005935;0
2;1;2;144;172;162;1.39906909991987;87;0.249978986568749;0.24997462099418;2.00811026827432;2.00810780795291;1;-49;-28;1;-10;-8.01818181818182;0;0;0;1.39906909991987;0
2;1;3;99;8;15;2.90863210009411;102;0.249976747203618;0.249968784162775;2.0081152447965;2.00811101845466;1;-16;-89;1;7;8.98181818181818;0;0;0;2.90863210009411;0
1;1;4;NaN;76;66;0.949903900036588;81;0.249981710454449;0;2.00810528406873;0;1;-68;NaN;1;-10;-8.01818181818182;0;0;0;0.949903900036588;0
1;1;5;NaN;47;36;0.941034799907357;167;0.24997939215973;0;2.00811022613198;0;1;29;NaN;1;-11;-9.01818181818182;0;0;0;0.941034799907357;0
2;1;6;114;121;120;1.43267300003208;96;0.249975952552631;0.249860999640077;2.00811258959584;2.00811440288089;1;-74;-7;1;-1;0.981818181818182;0;0;0;1.43267300003208;0
2;1;7;100;175;171;1.92538499995135;32;0.249978755135089;0.249975126469508;2.00810923147947;2.00810887361877;1;-54;-75;1;-4;-2.01818181818182;0;0;0;1.92538499995135;0
1;1;8;NaN;69;50;2.23175419983454;155;0.249980965862051;0;2.00811337120831;0;1;-74;NaN;1;-19;-17.0181818181818;0;0;0;2.23175419983454;0
1;1;9;NaN;180;166;1.28312279982492;56;0.249984294641763;0;2.00810252083465;0;1;69;NaN;1;-14;-12.0181818181818;0;0;0;1.28312279982492;0
2;1;10;2;59;63;1.18370179994963;8;0.249984236899763;0.249973658006638;2.0081069234293;2.00811100262217;1;-59;-57;1;4;5.98181818181818;0;0;0;1.18370179994963;0
1;1;11;NaN;155;157;1.19157349993475;177;0.249972723657265;0;2.00811295513995;0;1;84;NaN;1;2;3.98181818181818;0;0;0;1.19157349993475;0
1;1;12;NaN;21;31;1.2914943001233;112;0.249979660613462;0;2.00810882891528;0;1;-46;NaN;1;10;11.9818181818182;0;0;0;1.2914943001233;0
1;1;13;NaN;39;41;0.958267099922523;32;0.249973363243043;0;2.00811808137223;0;1;-18;NaN;1;2;3.98181818181818;0;0;0;0.958267099922523;0
2;1;14;99;137;126;1.25852949987166;47;0.249971273122355;0.24997067078948;2.00812321878038;2.00811447110027;1;82;-38;1;-11;-9.01818181818182;0;0;0;1.25852949987166;0
1;1;15;NaN;103;113;0.973872400121763;92;0.249976418213919;0;2.00811022613198;0;1;34;NaN;1;10;11.9818181818182;0;0;0;0.973872400121763;0
2;1;16;90;51;46;1.30854260013439;3;0.249974852660671;0.249973200028762;2.00811381847598;2.00811033928767;1;52;39;1;-5;-3.01818181818182;0;0;0;1.30854260013439;0
1;1;17;NaN;34;38;1.69119430007413;117;0.249975052895024;0;2.00811358401552;0;1;17;NaN;1;4;5.98181818181818;0;0;0;1.69119430007413;0
2;1;18;27;71;80;1.94054590002634;27;0.249981152825058;0.249970042146742;2.00810335529968;2.00810514180921;1;-37;-44;1;9;10.9818181818182;0;0;0;1.94054590002634;0
2;1;19;151;52;41;1.35859739989974;33;0.249977163039148;0.249967897310853;2.0081135740038;2.00811409996822;1;19;-81;1;-11;-9.01818181818182;0;0;0;1.35859739989974;0
2;1;20;91;40;38;2.17506110016257;166;0.249970349948853;0.249973371159285;2.0081202420406;2.00811232347041;1;12;51;1;-2;-0.0181818181818181;0;0;0;2.17506110016257;0
1;1;21;NaN;150;140;1.43216699990444;88;0.249981836648658;0;2.0081026579719;0;1;70;NaN;1;-10;-8.01818181818182;0;0;0;1.43216699990444;0
2;1;22;63;80;77;0.675369600066915;77;0.249981276458129;0.249965442111716;2.00811244454235;2.00811503920704;1;70;-17;1;-3;-1.01818181818182;0;0;0;0.675369600066915;0
1;1;23;NaN;77;71;1.16529939998873;28;0.249979186337441;0;2.00810427381657;0;1;3;NaN;1;-6;-4.01818181818182;0;0;0;1.16529939998873;0
1;1;24;NaN;93;73;1.25698609999381;121;0.249987594783306;0;2.00810196832754;0;1;-16;NaN;1;-20;-18.0181818181818;0;0;0;1.25698609999381;0
2;1;25;47;79;76;1.39217019989155;26;0.249980568420142;0.249968271236867;2.00811116304249;2.00811406038702;1;14;-32;1;-3;-1.01818181818182;0;0;0;1.39217019989155;0
1;1;26;NaN;54;48;0.783286199904978;48;0.249986462993547;0;2.00810105795972;0;1;25;NaN;1;-6;-4.01818181818182;0;0;0;0.783286199904978;0
2;1;27;162;63;61;1.71515560010448;109;0.249979405198246;0.249967268435284;2.00811414467171;2.00811097351834;1;-9;-81;1;-2;-0.0181818181818181;0;0;0;1.71515560010448;0
1;1;28;NaN;60;49;0.841613299911842;49;0.249964515911415;0;2.00811102613807;0;1;3;NaN;1;-11;-9.01818181818182;0;0;0;0.841613299911842;0
2;1;29;54;17;29;1.96522949985228;112;0.249980723485351;0.249971652636304;2.0081144105643;2.00811067083851;1;43;37;1;12;13.9818181818182;0;0;0;1.96522949985228;0
1;1;30;NaN;95;103;1.81533170002513;52;0.249983415473253;0;2.00811070553027;0;1;-78;NaN;1;8;9.98181818181818;0;0;0;1.81533170002513;0
2;2;31;120;178;176;1.15030759992078;92;0.249978376086801;0.249972357880324;2.0081112422049;2.00811136839911;2;-83;-58;1;-2;NaN;0;0;1;1.15030759992078;0
1;2;32;NaN;55;23;2.29039860004559;98;0.249963915906847;0;2.00811848137528;0;2;-57;NaN;1;-32;NaN;0;1;0;NaN;0
1;2;33;NaN;58;47;2.62396700005047;179;0.249982421053573;0;1.9997651737649;0;2;-3;NaN;1;-11;-9.01818181818182;0;0;0;2.62396700005047;0
2;2;34;61;157;162;0.97541239997372;165;0.249977247323841;0.249979184241965;2.00810925499536;2.00810417369939;2;81;84;1;5;6.98181818181818;0;0;0;0.97541239997372;0
2;2;35;79;151;154;1.51703540002927;47;0.249983247369528;0.249966268194839;2.00810920237564;2.00811136350967;2;6;-72;1;3;4.98181818181818;0;0;0;1.51703540002927;0
1;2;36;NaN;39;22;0.86543140001595;22;0.249978631502017;0;2.00810642889701;0;2;-68;NaN;1;-17;-15.0181818181818;0;0;0;0.86543140001595;0
2;2;37;109;50;24;2.00018219999038;174;0.249979063170031;0.249978905543685;2.00811390229501;2.00810652342625;2;-11;59;1;-26;-24.0181818181818;0;0;0;2.00018219999038;0
2;2;38;81;97;119;1.79067430016585;176;0.249984805239365;0.249971415614709;2.00811085500754;2.00810657371767;2;-47;-16;1;22;23.9818181818182;0;0;0;1.79067430016585;0
1;2;39;NaN;131;126;1.55809940001927;159;0.249978705076501;0;2.00811272906139;0;2;-34;NaN;1;-5;-3.01818181818182;0;0;0;1.55809940001927;0
1;2;40;NaN;49;33;1.55810649995692;78;0.249981591943651;0;2.00810972903855;0;2;82;NaN;1;-16;-14.0181818181818;0;0;0;1.55810649995692;0
1;2;41;NaN;74;69;1.69034869992174;35;0.249971105251461;0;2.00812220014632;0;2;-25;NaN;1;-5;-3.01818181818182;0;0;0;1.69034869992174;0
1;2;42;NaN;87;75;1.84854899998754;43;0.249978568404913;0;2.00811568414792;0;2;-13;NaN;1;-12;-10.0181818181818;0;0;0;1.84854899998754;0
1;2;43;NaN;180;159;1.46555149997585;146;0.249977634288371;0;2.00810659723356;0;2;87;NaN;1;-21;-19.0181818181818;0;0;0;1.46555149997585;0
