true_sid,run,trial,mdir,resp,err
P02,1,1,80.2,72.532,-7.66399999999999
P02,1,2,35.82,22.954,-12.86
P02,1,3,355.4,346.3,-9.13999999999999
P02,1,4,323,329.68,6.78000000000003
P02,1,5,304.4,305.48,1.18000000000001
P02,1,6,159.92,150.492,-9.428
P02,1,7,202.8,199.186,-3.614
P02,1,8,106.1,102.564,-3.53
P02,1,9,172.04,172.21,0.165999999999997
P02,1,10,68.34,70.412,2.066
P02,1,11,278.2,282.96,4.81999999999999
P02,1,12,289.2,289.02,-0.259999999999991
P02,1,13,128.62,131.334,2.71199999999999
P02,1,14,14.026,8.713,-5.31299999999999
P02,1,15,46.7,43.41,-3.28399999999999
P02,1,16,184.78,193.17,8.38799999999998
P02,1,17,230.8,234.84,4.08000000000001
P02,1,18,244.6,246.54,1.85999999999999
P02,2,1,103.44,100.04,-3.40799999999999
P02,2,2,42.68,36.278,-6.392
P02,2,3,151.58,147.074,-4.50999999999999
P02,2,4,13.334,9.0848,-4.24959999999999
P02,2,5,303.8,304.16,0.340000000000032
P02,2,6,125.08,135.374,10.3
P02,2,7,93.92,91.534,-2.38
P02,2,8,33.74,14.8872,-18.8508
P02,2,9,250.4,252.58,2.08000000000001
P02,2,10,192.04,195.954,3.91800000000001
P02,2,11,160.22,163.77,3.542
P02,2,12,283.6,288.68,5.07999999999998
P02,2,13,352.6,347.3,-5.19999999999999
P02,2,14,325.8,336.76,10.96
P02,2,15,231.4,234.24,2.90000000000001
P02,2,16,69.9,65.656,-4.23599999999999
P02,2,17,200.4,202.64,2.17999999999998
P02,2,18,269.8,268.64,-1.08000000000004
P02,3,1,53.68,56.698,3.012
P02,3,2,348.4,341.24,-7.18000000000001
P02,3,3,140.98,156.046,15.074
P02,3,4,27.34,24.048,-3.29599999999999
P02,3,5,244.6,249.44,4.81999999999999
P02,3,6,66.86,62.142,-4.71199999999999
P02,3,7,16.998,9.077,-7.9212
P02,3,8,173.6,174.274,0.668000000000006
P02,3,9,201.8,200.8,-1
P02,3,10,283.6,284.88,1.30000000000001
P02,3,11,119.9,115.808,-4.09199999999998
P02,3,12,321.4,328.06,6.63999999999999
P02,3,13,225.2,229.04,3.91999999999999
P02,3,14,92.7,97.062,4.362
P02,3,15,308.2,305.66,-2.56
P02,3,16,270,265.72,-4.19999999999999
P02,3,17,186.6,189.808,3.21599999999998
P02,3,18,137.22,152.096,14.886
P02,4,1,68.98,67.974,-1.01400000000001
P02,4,2,32.42,22.794,-9.624
P02,4,3,182,175.218,-6.78400000000002
P02,4,4,300,299.58,-0.439999999999998
P02,4,5,166.6,159.332,-7.27000000000001
P02,4,6,130.82,135.992,5.172
P02,4,7,8.672,9.9154,1.243
P02,4,8,117.78,111.552,-6.232
P02,4,9,43.52,48.878,5.356
P02,4,10,159.42,167.318,7.90400000000003
P02,4,11,355.4,349.42,-6
P02,4,12,203.6,214.02,10.48
P02,4,13,221.6,227.4,5.72
P02,4,14,338.6,336.48,-2.15999999999997
P02,4,15,91.94,89.626,-2.31999999999999
P02,4,16,283.6,276.26,-7.40000000000003
P02,4,17,261.2,264.38,3.21999999999997
P02,4,18,248.8,256.5,7.75999999999999
P02,5,1,251.6,255.32,3.69999999999999
P02,5,2,269.8,272.1,2.38
P02,5,3,96.84,94.182,-2.65600000000001
P02,5,4,198.74,191.746,-6.988
P02,5,5,28.78,10.4396,-18.3484
P02,5,6,294,297.54,3.56
P02,5,7,207,203.98,-3
P02,5,8,132.94,134.238,1.28999999999999
P02,5,9,314.6,320.74,6.19999999999999
P02,5,10,74,70.184,-3.82400000000001
P02,5,11,322.8,338.32,15.48
P02,5,12,15.134,10.286,-4.84819999999999
P02,5,13,154.4,162.644,8.244
P02,5,14,225.4,238.36,12.96
P02,5,15,43.68,47.122,3.434
P02,5,16,356.4,350.18,-6.30000000000001
P02,5,17,173.04,173.502,0.469999999999999
P02,5,18,119.16,115.996,-3.17200000000003
P02,6,1,316.2,329.88,13.72
P02,6,2,183.1,181.25,-1.85400000000001
