Orientation,Phase,DotCoherence,DotRandomWalk,DotSpeed,MatchOri,MatchStart,MatchEnd,Response,trialN,V11,mod_date,situation,fname,folder,dotCoherenceConditions.1,dotCoherenceConditions.2,dotCoherenceConditions.3,dotCoherenceConditionsMain,dotCoherenceConditionsTraining.1,dotCoherenceConditionsTraining.2,dotCoherenceConditionsTraining.3,dotSpeedConditions,dotType,dotOrtGabor,dotsDirSD,dotContr,dotRandomWalkConditions,dotDensity,dotLifeLimit,dotLifeSD,dotLifeRange,dotUseRange,dotContrTextures,dotCounterBalanceSNTextures,dotSD,dotSize,dotSF,dotRandomColors,dotN,dotSpeed,dotRandomWalk,dotCoherence,dotSpeedPix,dotCoherenceConditions,dotCoherenceConditionsTraining,exp_date,subject_id,run,Orientation_sin,Orientation_cos,Response_sin,Response_cos,MatchOri_sin,MatchOri_cos,error,abs_error,prevAbsError,prevOri,prevDotSpeed,DotSpeedf,prevDotSpeedf,ori_shift,ori_response_shift,totN,DotRandomWalkf,DotCoherencef,prevCoherencef,prevCoherence,dir_error,n_speeds,blunt_error,dist_to_nearest_cardinal,resp_dist_to_nearest_cardinal,OrientationG,Ori_2_Card,OrientationG_180,Ori_2_Card_180,error_180,abs_error_180,response_plus_180,Ori_recoded,Response_recoded,ori_stocker,speed_diff,coh_diff,prevOri_recoded
10.301,,0.18,0,7,-167.315,0.497063,3.17982,4.12500000000004,1,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.178819387122488,0.983881917096324,-0.0719326531567201,0.997409491337352,0.219590802475362,-0.975592066115867,-6.17599999999993,6.17599999999993,,,,7,,,,18,Fixed,0.18,,,,1,FALSE,10.301,4.12500000000004,0,10.301,0,10.301,-6.17599999999993,-6.17599999999993,184.125,10.301,4.12500000000004,0.983881917096324,,,
-146.375,,0.18,0,7,-120.168,0.367668,1.92027,-155.941,2,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.553754927004347,-0.832679698814863,0.407677145453289,-0.913126138644085,0.864555606479946,-0.502537166092314,-9.566,9.566,6.17599999999993,10.301,7,7,7,-156.676,-150.5,18,Fixed,0.18,0.18,0.18,9.566,1,FALSE,33.625,24.059,-180,33.625,0,33.625,-9.566,-9.566,24.059,-146.375,-155.941,0.832679698814863,7->7,0.18->0.18,10.301
-3.36385,,0.18,0,7,137.47,0.428016,3.31102,2.03399999999998,3,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.0586765358456383,0.998277047788416,-0.0354925409781342,0.999369941280463,-0.675976152500408,-0.736923497556392,5.39784999999998,5.39784999999998,9.566,-146.375,7,7,7,143.01115,152.57715,18,Fixed,0.18,0.18,0.18,5.39784999999998,1,FALSE,-3.36385,2.03399999999998,0,-3.36385000000001,0,-3.36385,5.39784999999998,5.39784999999998,182.034,-3.36385,2.03399999999998,0.998277047788416,7->7,0.18->0.18,-146.375
39.516,,0.18,0,7,96.602,0.343244,4.21602,42.927,4,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.63629367370673,0.771446926755687,-0.68106599607202,0.73222203531062,-0.993368752931782,-0.114971825673754,3.41100000000003,3.41100000000003,5.39784999999998,-3.36385,7,7,7,42.87985,37.482,18,Fixed,0.18,0.18,0.18,3.41100000000003,1,FALSE,39.516,42.9270000000001,0,39.516,0,39.516,3.41100000000003,3.41100000000003,222.927,39.516,42.927,0.771446926755687,7->7,0.18->0.18,-3.36385
117.78,,0.18,0,7,-127.96,0.475974,3.87519,110.188,5,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.884743720969248,-0.466077834921903,-0.938565321261257,-0.345101633907685,0.788440374331258,-0.615111190049722,-7.59200000000001,7.59200000000001,3.41100000000003,39.516,7,7,7,78.264,74.853,18,Fixed,0.18,0.18,0.18,-7.59200000000001,1,FALSE,27.78,20.188,90,27.78,90,27.78,-7.59200000000001,-7.59200000000001,290.188,117.78,110.188,0.466077834921903,7->7,0.18->0.18,39.516
89.697,,0.18,0,7,-155.43,0.344079,1.99072,90.585,6,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.999986016722242,0.00528832298404147,-0.999947876604571,-0.0102099987272012,0.415804660305857,-0.909453948514124,0.887999999999977,0.887999999999977,7.59200000000001,117.78,7,7,7,-28.083,-20.491,18,Fixed,0.18,0.18,0.18,-0.887999999999977,1,FALSE,-0.302999999999969,0.58499999999998,90,-0.302999999999969,90,-0.302999999999969,0.887999999999963,0.887999999999963,270.585,89.697,90.585,0.00528832298404133,7->7,0.18->0.18,117.78
163.407,,0.18,0,7,-161.624,0.306593,2.92395,162.225,7,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.285571284083592,-0.958357470731485,-0.305279831056044,-0.952262686841395,0.315251545012581,-0.949008147155324,-1.18200000000002,1.18200000000002,0.887999999999977,89.697,7,7,7,73.71,72.822,18,Fixed,0.18,0.18,0.18,-1.18200000000002,1,FALSE,-16.593,-17.775,-180,-16.593,0,-16.593,-1.18200000000002,-1.18200000000002,342.225,-196.593,-197.775,0.958357470731485,7->7,0.18->0.18,89.697
64.798,,0.18,0,7,106.092,0.312143,0.772173,66.068,8,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.904812189413721,0.42581087572812,-0.914027538907184,0.405652139300751,-0.960817865222139,-0.277180500522622,1.26999999999998,1.26999999999998,1.18200000000002,163.407,7,7,7,-98.609,-97.427,18,Fixed,0.18,0.18,0.18,-1.26999999999998,1,FALSE,-25.202,-23.932,90,-25.202,90,-25.202,1.26999999999998,1.26999999999998,246.068,64.798,66.068,0.42581087572812,7->7,0.18->0.18,-196.593
141.117,,0.18,0,7,-176.145,0.275784,4.06008,141.003,9,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.627732120621051,-0.778429434657117,-0.629279698919809,-0.777178911530282,0.0672316903679343,-0.99773739020359,-0.114000000000004,0.114000000000004,1.26999999999998,64.798,7,7,7,76.319,75.049,18,Fixed,0.18,0.18,0.18,-0.114000000000004,1,FALSE,-38.883,-38.997,-180,-38.883,0,-38.883,-0.114000000000004,-0.114000000000004,321.003,-218.883,-218.997,0.778429434657117,7->7,0.18->0.18,64.798
-100.09,,0.18,0,7,-74.4557,0.386137,0.736168,-96.5673,10,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.984533772247128,-0.175194895202002,0.993438201050868,-0.114370191452208,0.963423541598843,0.267983356746539,3.52269999999999,3.52269999999999,0.114000000000004,141.117,7,7,7,118.793,118.907,18,Fixed,0.18,0.18,0.18,3.52269999999999,1,FALSE,-10.09,-6.5673,-90,-10.09,90,-10.09,3.5227,3.5227,83.4327,-100.09,-96.5673,0.175194895202002,7->7,0.18->0.18,-218.883
