trial,file,orientation,response,separations,error
1,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-66,-62,52,-4
2,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,19,21,85,-2
3,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,1,12,-18,-11
4,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,82,73,81,9
5,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-29,-23,69,-6
6,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-73,-55,-44,-18
7,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-61,-60,12,-1
8,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,51,63,-68,-12
9,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,35,60,-16,-25
10,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-29,-31,-64,2
11,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,76,66,-75,10
12,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,39,54,-37,-15
13,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-9,-11,-48,2
14,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-57,-51,-48,-6
15,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,22,23,79,-1
16,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-32,-34,-54,2
17,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-7,-10,25,3
18,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-75,-71,-68,-4
19,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-39,-46,36,7
20,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,42,64,81,-22
21,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,20,37,-22,-17
22,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-24,-23,-44,-1
23,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,42,47,66,-5
24,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,66,56,24,10
25,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,79,68,13,11
26,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-82,-67,19,-15
27,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-70,-69,12,-1
28,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-30,-24,40,-6
29,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-29,-21,1,-8
30,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-41,-27,-12,-14
31,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,65,69,-74,-4
32,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-70,-66,45,-4
33,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-55,-60,15,5
34,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-28,-33,27,5
35,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,23,21,51,2
36,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,15,15,-8,0
37,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-87,-70,78,-17
38,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-58,-66,29,8
39,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-43,-36,15,-7
40,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-26,-24,17,-2
41,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-17,-30,9,13
42,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-61,-62,-44,1
43,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,40,39,-79,1
44,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-39,-39,-79,0
45,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-51,-42,-12,-9
46,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-14,-19,37,5
47,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-66,-59,-52,-7
48,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,30,33,-84,-3
49,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-53,-62,-83,9
50,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,15,28,68,-13
51,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-86,-71,79,-15
52,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-37,-38,49,1
53,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,64,67,-79,-3
54,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,81,72,17,9
55,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,72,71,-9,1
56,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-61,-61,47,0
57,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-84,-69,-23,-15
58,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-85,-70,-1,-15
59,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,22,24,-73,-2
60,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-11,-19,-33,8
61,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-8,-17,3,9
62,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-67,-66,-59,-1
63,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-71,-71,-4,0
64,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-12,-14,59,2
65,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,50,62,62,-12
66,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,11,13,-39,-2
67,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-6,-4,-17,-2
68,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,38,29,44,9
69,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,51,57,13,-6
