obs;block;trial;theta;resp;rt;cond;delta;error;study;experiment;stimulus
1;1;1;96;99.6344826715205;1.69149334931353;1;NaN;3.63448267152052;Fritsche et al. (2020);Experiment 2;Orientation
1;1;2;114;104.693688521351;1.45097605403134;1;-18;-9.30631147864919;Fritsche et al. (2020);Experiment 2;Orientation
1;1;3;71;61.7339246758799;2.00097786421247;1;43;-9.26607532412014;Fritsche et al. (2020);Experiment 2;Orientation
1;1;4;138;126.302279687735;1.75100849103546;-1;-67;-11.6977203122647;Fritsche et al. (2020);Experiment 2;Orientation
1;1;5;139;136.703678112834;2.28434711473528;-1;-1;-2.29632188716604;Fritsche et al. (2020);Experiment 2;Orientation
1;1;6;81;80.1405577972809;2.45099031607242;1;58;-0.859442202719052;Fritsche et al. (2020);Experiment 2;Orientation
1;1;7;134;132.494267389341;2.43428251499063;-1;-53;-1.50573261065941;Fritsche et al. (2020);Experiment 2;Orientation
1;1;8;62;64.9750902246401;1.28434857750835;1;72;2.9750902246401;Fritsche et al. (2020);Experiment 2;Orientation
1;1;9;12;16.0869881020216;2.06788330430572;-1;50;4.08698810202164;Fritsche et al. (2020);Experiment 2;Orientation
1;1;10;104;103.952215954999;2.43425508798464;-1;88;-0.0477840450011513;Fritsche et al. (2020);Experiment 2;Orientation
1;1;11;147;146.292110215397;1.76767240890695;1;-43;-0.707889784603253;Fritsche et al. (2020);Experiment 2;Orientation
1;1;12;142;148.380656866819;3.66753750460339;-1;5;6.38065686681878;Fritsche et al. (2020);Experiment 2;Orientation
1;1;13;132;133.690881998713;1.65103193198229;-1;10;1.69088199871305;Fritsche et al. (2020);Experiment 2;Orientation
1;1;14;25;35.6116884315451;2.00092154742379;-1;-73;10.6116884315451;Fritsche et al. (2020);Experiment 2;Orientation
1;1;15;45;49.3649550859704;1.33429717929903;1;-20;4.36495508597039;Fritsche et al. (2020);Experiment 2;Orientation
1;1;16;68;69.8877506136483;1.68405112247638;1;-23;1.88775061364832;Fritsche et al. (2020);Experiment 2;Orientation
1;1;17;87;84.2299467618416;2.31760546872465;-1;-19;-2.77005323815837;Fritsche et al. (2020);Experiment 2;Orientation
1;1;18;17;26.0653349296808;1.35095926870054;-1;70;9.06533492968081;Fritsche et al. (2020);Experiment 2;Orientation
1;1;19;171;167.265743956388;2.83423226871309;1;26;-3.73425604361233;Fritsche et al. (2020);Experiment 2;Orientation
1;1;20;93;90.1648332378129;3.46763777773958;1;78;-2.83516676218714;Fritsche et al. (2020);Experiment 2;Orientation
