Participant No.,Stimulus Orientation,Participant Response,Noise Level (Concentration of von Mises)
1,90,80,0.5
1,35,51.5,0.5
1,90,107,0.5
1,27,26,0.5
1,10,19,0.5
1,154,136,0.5
1,101,102,4
1,168,172,0.5
1,126,133,0.5
1,105,113.75,4
1,147,147,0.5
1,159,159,0.5
1,179,11.5,0.5
1,1,8.5,4
1,156,152,4
1,111,103,0.5
1,179,13.75,0.5
1,95,84.75,0.5
1,87,98,0.5
1,145,158,0.5
1,42,34.25,0.5
1,90,89,4
1,163,170,0.5
1,104,79,0.5
1,153,151,4
1,133,129,4
1,106,104.25,4
1,45,41,4
1,120,146,4
1,16,33,4
1,113,113.25,4
1,119,135,0.5
1,132,148.25,4
1,161,161.25,0.5
1,177,163.5,0.5
1,139,131,0.5
1,105,103.25,0.5
1,168,146.25,4
1,105,117.25,0.5
1,4,21.25,4
1,22,18,4
1,156,164,4
1,88,96,4
1,153,142,4
1,38,30.5,4
1,100,105.25,0.5
1,114,125,4
1,6,18,4
1,111,115.5,4
1,66,65.25,0.5
1,9,14,0.5
1,89,107.25,4
1,35,39.75,0.5
1,23,37,0.5
1,37,38.75,0.5
1,27,44,0.5
1,35,40,4
1,8,35,0.5
1,115,107.75,0.5
1,51,44,0.5
1,97,107,0.5
1,126,121,4
1,90,95,4
1,97,106.75,4
1,81,72,0.5
1,23,32.5,0.5
1,89,96,0.5
1,154,153.5,0.5
1,158,152.75,4
1,49,65.75,0.5
1,38,41,4
1,102,105,4
1,116,110.5,0.5
1,76,76,0.5
1,38,41,0.5
1,171,160.75,0.5
1,15,14.5,4
1,20,25.5,0.5
1,26,30.75,0.5
1,30,50.75,0.5
1,112,131,0.5
1,104,109.5,4
1,10,29,0.5
1,168,157,0.5
1,132,142,4
1,133,133.5,4
1,12,3.25,0.5
1,155,135.5,4
1,169,176,0.5
1,178,0.25,4
1,155,158.5,0.5
1,142,138,4
1,93,71.25,0.5
1,32,34,4
1,72,74.25,4
1,25,44.5,0.5
1,6,11.25,0.5
1,170,159,4
1,55,48.75,4
1,54,60.5,4
1,60,53,4
1,85,97,4
1,117,121,4
1,5,171.75,0.5
1,152,158,0.5
1,101,103.25,0.5
1,154,141.75,4
1,63,45,4
1,81,80.25,0.5
