obs;group;theta;resp;error;delta;session;rt;respback;errorc;error_out_after;block_start_index;rtc;exclude
1;1;158;155.5;-2.5;NaN;1;1.103432699525;0;NaN;NaN;1;1.103432699525;0
1;1;179;15;16;-21;1;3.07953934108446;1;21.7828143038847;0;0;3.07953934108446;0
1;1;74;68;-6;-75;1;1.81570007797472;1;1.51676646844321;0;0;1.81570007797472;0
1;1;99;124;25;-25;1;1.93870605678785;1;10.3244448215306;0;0;1.93870605678785;0
1;1;165;146.5;-18.5;-66;1;1.33721094288376;1;-1.29263959238355;0;0;1.33721094288376;0
1;1;60;40.5;-19.5;-75;1;2.54363806471974;1;-20.5457568027629;0;0;2.54363806471974;0
1;1;22;53.5;31.5;38;1;1.30953002185379;1;14.4461829897313;0;0;1.30953002185379;0
1;1;53;38;-15;-31;1;2.22898093988715;1;-19.2733813426565;0;0;2.22898093988715;0
1;1;144;NaN;NaN;89;1;2.0087032651245;1;NaN;0;0;NaN;0
1;1;102;114.5;12.5;42;1;1.73914074895947;0;-2.09816943783543;1;0;1.73914074895947;0
1;1;89;105.5;16.5;13;1;0.986042207329774;1;9.68317287862592;0;0;0.986042207329774;0
1;1;93;112;19;-4;1;0.933966044171029;1;12.2209434522538;0;0;0.933966044171029;0
1;1;69;NaN;NaN;24;1;2.00872242360128;1;NaN;0;0;NaN;0
1;1;158;154.5;-3.5;-89;1;2.32772852284052;0;8.85683154371725;1;0;2.32772852284052;0
1;1;18;NaN;NaN;-40;1;2.00870360724002;1;NaN;0;0;NaN;0
1;1;87;62;-25;-69;1;2.33792288559471;0;-29.3963194944956;1;0;2.33792288559471;0
1;1;77;NaN;NaN;10;1;2.00870771262726;1;NaN;0;0;NaN;0
1;1;89;109.5;20.5;-12;1;1.63545198937481;0;13.6831728786259;1;0;1.63545198937481;0
1;1;89;108.5;19.5;0;1;1.52587199794198;1;12.6831728786259;0;0;1.52587199794198;0
1;1;120;119;-1;-31;1;1.21301953327202;1;-8.19811277995415;0;0;1.21301953327202;0
1;1;53;NaN;NaN;67;1;2.00869539646374;1;NaN;0;0;NaN;0
1;1;35;52.5;17.5;18;1;2.65943600846731;0;10.8478249473731;1;0;2.65943600846731;0
1;1;53;NaN;NaN;-18;1;2.00871113378435;1;NaN;0;0;NaN;0
1;1;143;141;-2;-90;1;1.13613485225324;0;-7.94327491488927;1;0;1.13613485225324;0
1;1;120;NaN;NaN;23;1;2.00869334376966;1;NaN;0;0;NaN;0
1;1;44;31;-13;76;1;1.22601650760043;0;-13.173155152033;1;0;1.22601650760043;0
1;1;57;NaN;NaN;-13;1;2.00869094896007;1;NaN;0;0;NaN;0
1;1;171;165.5;-5.5;66;1;1.02427910737879;0;1.21267071514112;1;0;1.02427910737879;0
1;1;164;NaN;NaN;7;1;2.00871421282591;1;NaN;0;0;NaN;0
1;1;154;150.5;-3.5;10;1;1.59832867583373;0;0.305697257585663;1;0;1.59832867583373;0
1;1;0;NaN;NaN;-26;1;2.00869676492675;1;NaN;0;0;NaN;0
1;1;93;114.5;21.5;87;1;2.85380252656432;0;14.7209434522538;1;0;2.85380252656432;0
1;1;5;NaN;NaN;88;1;2.00869710704228;1;NaN;0;0;NaN;0
1;1;136;136.5;0.5;49;1;3.27469238310823;0;-2.94184142395023;1;0;3.27469238310823;0
1;1;132;NaN;NaN;4;1;2.00870873897566;1;NaN;0;0;NaN;0
1;1;10;29.5;19.5;-58;1;1.83861566982796;0;7.41086514503051;1;0;1.83861566982796;0
1;1;100;NaN;NaN;-90;1;2.00869950185188;1;NaN;0;0;NaN;0
1;1;37;55.5;18.5;63;1;2.06832273670625;0;14.1539944204966;1;0;2.06832273670625;0
1;1;75;73.5;-1.5;-38;1;1.77375464405577;1;-0.697212011331088;0;0;1.77375464405577;0
1;1;12;41.5;29.5;63;1;2.23424883698499;1;16.2575999922921;0;0;2.23424883698499;0
