subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
13,1,1,1,1,0,74,-20,0.1,-112.249023657212,1.51294794713613,945103.595534935,945103.805681032,945105.146514297,945103.595534935,945103.805681032,945105.146514297,945103.595600436,945103.805742609,945105.146580402,0.00951584486756474,0.00996237876825035,1.33034982846584,0,0,0,12312019,20-Feb-2020 14:21:24,0
13,1,1,1,2,0.5,8,-20,0.1,22.5838525206564,1.70154658181127,945105.646853726,945105.846960339,945107.357944459,945105.646853726,945105.846960339,945107.357944459,945105.646941564,945105.847010446,945107.358009055,0.000628947978839278,-7.71060585975647e-05,1.5005006834399,0,0,0,12312019,20-Feb-2020 14:21:24,0.495007887303946
13,1,1,1,3,0.42,117,-20,0.1,-58.5479389880005,1.28197278594598,945107.778222468,945107.978332401,945109.069025231,945107.778222468,945107.978332401,945109.069025231,945107.778291893,945107.97838281,945109.069089827,0.000441330834291875,-7.37857772037387e-05,1.08020939340349,0,0,0,12312019,20-Feb-2020 14:21:24,0.415007887303946
13,1,1,1,4,0.3,10,-20,0.1,32.1062559551178,1.24098536663223,945109.369218807,945109.569321194,945110.620022101,945109.369218807,945109.569321194,945110.620022101,945109.369289137,945109.569371603,945110.620083075,0.000167602556757629,-8.13320511952043e-05,1.04021747095976,0,0,0,12312019,20-Feb-2020 14:21:24,0.295007887303946
13,1,1,1,5,0.48,142,-20,0.1,-39.9278671274855,1.0138566623209,945111.100328441,945111.300435356,945112.12097217,945111.100328441,945111.300435356,945112.12097217,945111.100392735,945111.300485765,945112.121038878,0.0005643101176247,-7.68043100833893e-05,0.810053377063014,0,0,0,12312019,20-Feb-2020 14:21:24,0.475007887303946
13,1,1,1,6,0.32,58,-20,0.1,-117.20401107607,1.34489161963575,945112.441194005,945112.641338047,945113.802054925,945112.441194005,945112.641338047,945113.802054925,945112.441258298,945112.641389059,945113.802118917,0.000227410811930895,-3.96769028156996e-05,1.15023344173096,0,0,0,12312019,20-Feb-2020 14:21:24,0.315007887303946
13,1,1,1,7,0.36,1,-20,0.1,7.93275831417206,1.26776175328996,945114.162272002,945114.362404876,945115.443089916,945114.162272002,945114.362404876,945115.443089916,945114.162332976,945114.362457096,945115.443150285,0.00028575211763382,-5.08453231304884e-05,1.07020160276443,0,0,0,12312019,20-Feb-2020 14:21:24,0.355007887303946
13,1,1,1,8,0.32,145,-20,0.1,-37.8749836510982,1.5246234514052,945115.763288206,945115.963405384,945117.304278191,945115.763288206,945115.963405384,945117.304278191,945115.763348274,945115.963459113,945117.304341277,0.00020386662799865,-6.65413681417704e-05,1.33038937067613,0,0,0,12312019,20-Feb-2020 14:21:24,0.315007887303946
13,1,1,1,9,0.48,165,-20,0.1,-24.3312419169351,1.40124403894879,945117.784584833,945117.984706236,945119.195535116,945117.784584833,945117.984706236,945119.195535116,945117.784646108,945117.98475906,945119.195604843,0.000564611866138875,-6.23154919594526e-05,1.20034544263035,0,0,0,12312019,20-Feb-2020 14:21:24,0.475007887303946
13,1,1,1,10,0.46,32,-20,0.1,57.2361115094163,1.34992886940017,945119.65580233,945119.855900491,945121.01666959,945119.65580233,945119.855900491,945121.01666959,945119.655872963,945119.855960861,945121.016740524,0.000493635307066143,-8.5557927377522e-05,1.1502856615698,0,0,0,12312019,20-Feb-2020 14:21:24,0.455007887303946
13,1,1,1,11,0.3,73,-20,0.1,-104.743562836471,1.42283074231818,945121.316838413,945121.516954686,945122.747760812,945121.316838413,945121.516954686,945122.747760812,945121.316900292,945121.517007509,945122.747826011,0.000142850913107395,-6.74469629302621e-05,1.22032268939074,0,0,0,12312019,20-Feb-2020 14:21:24,0.295007887303946
13,1,1,1,12,0.46,130,-20,0.1,-42.6281578102108,1.19553028605878,945123.208046137,945123.408174181,945124.418823702,945123.208046137,945123.408174181,945124.418823702,945123.208108016,945123.408237871,945124.418882562,0.000511746155098081,-5.56749291718006e-05,1.00016608426813,0,0,0,12312019,20-Feb-2020 14:21:24,0.455007887303946
13,1,1,1,13,0.4,62,-20,0.1,-124.63367739655,1.2684508736711,945124.819098203,945125.019222625,945126.099903137,945124.819098203,945125.019222625,945126.099903137,945124.819161289,945125.019291145,945126.099969845,0.000406274106353521,-5.92970754951239e-05,1.07019707502332,0,0,0,12312019,20-Feb-2020 14:21:24,0.395007887303946
