delta;theta;resp;error;rt;obs;block;cond;study;experiment;stimulus;expnum
59;160;173;13;2.29150867462158;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
48;170;171;0.999999999999989;2.84200549125671;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
41;150;163.5;13.5;4.67462348937988;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-64;61;61.5;0.500000000000008;3.7828516960144;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-82;158;147;-11;7.10818767547607;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
30;106;148.5;42.5;3.09983849525452;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
80;178;135;-43;5.68307948112488;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-39;121;112.5;-8.5;3.16619443893433;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-49;51;48.5;-2.50000000000001;2.44123363494873;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-75;63;52.5;-10.5;2.17467856407166;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
19;64;33.5;-30.5;2.48321413993835;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
42;29;45.5;16.5;1.94130277633667;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
2;150;152.5;2.5;3.48303151130676;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-73;28;35.5;7.5;2.26653790473938;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-41;151;163;12;3.16635227203369;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-7;38;37.5;-0.5;3.24136972427368;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;167;160;-7;3.40801239013672;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
20;70;52.5;-17.5;2.94138073921204;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-16;24;36;12;2.04970502853394;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-22;133;129;-4;4.44985151290894;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-2;172;159.5;-12.5;2.44147944450378;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
10;42;39.5;-2.5;1.73323798179626;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
43;172;22;30;4.22456765174866;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
22;74;66;-8;3.39151382446289;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-50;144;146;2;2.08302545547485;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-78;74;65;-9.00000000000001;3.18315768241882;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;37;28.5;-8.5;2.14178776741028;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
60;26;34;8.00000000000001;3.18326759338379;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-26;172;148;-24;2.19220662117004;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-65;4;16;12;1.7829282283783;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-41;5;16.5;11.5;3.00781536102295;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-47;146;130.5;-15.5;3.27488327026367;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-79;134;141.5;7.49999999999999;2.12483978271484;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
18;131;125;-5.99999999999998;3.32480764389038;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-67;39;49;10;2.44962573051453;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-71;93;46;-47;2.61654257774353;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-88;74;58;-16;2.94975829124451;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-38;38;38.5;0.499999999999998;2.09147953987122;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
51;24;35;11;2.21639060974121;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
24;51;29;-22;6.01649904251099;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
