obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;7;12;5;0.590742999920622;2;78;71;Blonde et al. (2023);Experiment 2;Orientation;1
1;118;107;-11;1.46441860008053;2;69;72;Blonde et al. (2023);Experiment 2;Orientation;1
1;120;118;-2;1.34879969991744;2;-2;73;Blonde et al. (2023);Experiment 2;Orientation;1
1;44;44;0;1.55683689983562;2;76;74;Blonde et al. (2023);Experiment 2;Orientation;1
1;59;58;-1;0.914573699934408;2;-15;75;Blonde et al. (2023);Experiment 2;Orientation;1
1;56;65;9;1.04900930006988;2;3;76;Blonde et al. (2023);Experiment 2;Orientation;1
1;84;61;-23;1.36470150016248;2;-28;77;Blonde et al. (2023);Experiment 2;Orientation;1
1;127;109;-18;3.19869669992477;2;-43;78;Blonde et al. (2023);Experiment 2;Orientation;1
1;151;153;2;1.44891220005229;2;-24;79;Blonde et al. (2023);Experiment 2;Orientation;1
1;145;154;9;1.17480789986439;2;6;80;Blonde et al. (2023);Experiment 2;Orientation;1
1;125;129;4;0.931797600118443;2;20;81;Blonde et al. (2023);Experiment 2;Orientation;1
1;116;114;-2;1.20633229985833;2;9;82;Blonde et al. (2023);Experiment 2;Orientation;1
1;116;131;15;1.031151099829;2;0;83;Blonde et al. (2023);Experiment 2;Orientation;1
1;131;141;10;1.08962209988385;2;-15;84;Blonde et al. (2023);Experiment 2;Orientation;1
1;0;0;0;1.37387030012906;2;-49;85;Blonde et al. (2023);Experiment 2;Orientation;1
1;122;124;2;1.38165129977278;2;58;86;Blonde et al. (2023);Experiment 2;Orientation;1
1;28;30;2;1.21574690006673;2;-86;87;Blonde et al. (2023);Experiment 2;Orientation;1
1;73;18;-55;1.34052599989809;2;-45;88;Blonde et al. (2023);Experiment 2;Orientation;1
1;117;114;-3;1.25715869991109;2;-44;89;Blonde et al. (2023);Experiment 2;Orientation;1
1;84;73;-11;1.11544349999167;2;33;90;Blonde et al. (2023);Experiment 2;Orientation;1
1;136;123;-13;1.18955509993248;2;-52;91;Blonde et al. (2023);Experiment 2;Orientation;1
1;120;126;6;0.957206699997187;2;16;92;Blonde et al. (2023);Experiment 2;Orientation;1
1;160;155;-5;0.565611699828878;2;-40;93;Blonde et al. (2023);Experiment 2;Orientation;1
1;134;131;-3;0.982239400036633;2;26;94;Blonde et al. (2023);Experiment 2;Orientation;1
1;50;62;12;1.43142259982415;2;84;95;Blonde et al. (2023);Experiment 2;Orientation;1
1;82;78;-4;0.93228660011664;2;-32;96;Blonde et al. (2023);Experiment 2;Orientation;1
1;18;45;27;1.207219599979;2;64;97;Blonde et al. (2023);Experiment 2;Orientation;1
1;44;49;5;1.87268579984084;2;-26;98;Blonde et al. (2023);Experiment 2;Orientation;1
