obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;123;117;-6;1.37392230005935;1;NaN;1;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;172;162;-10;1.39906909991987;1;-49;2;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;8;15;7;2.90863210009411;1;-16;3;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;76;66;-10;0.949903900036588;1;-68;4;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;47;36;-11;0.941034799907357;1;29;5;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;121;120;-1;1.43267300003208;1;-74;6;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;175;171;-4;1.92538499995135;1;-54;7;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;69;50;-19;2.23175419983454;1;-74;8;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;180;166;-14;1.28312279982492;1;69;9;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;59;63;4;1.18370179994963;1;-59;10;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;155;157;2;1.19157349993475;1;84;11;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;21;31;10;1.2914943001233;1;-46;12;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;39;41;2;0.958267099922523;1;-18;13;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;137;126;-11;1.25852949987166;1;82;14;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;103;113;10;0.973872400121763;1;34;15;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;51;46;-5;1.30854260013439;1;52;16;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;34;38;4;1.69119430007413;1;17;17;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;71;80;9;1.94054590002634;1;-37;18;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;52;41;-11;1.35859739989974;1;19;19;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;40;38;-2;2.17506110016257;1;12;20;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;150;140;-10;1.43216699990444;1;70;21;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;80;77;-3;0.675369600066915;1;70;22;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;77;71;-6;1.16529939998873;1;3;23;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;93;73;-20;1.25698609999381;1;-16;24;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;79;76;-3;1.39217019989155;1;14;25;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;54;48;-6;0.783286199904978;1;25;26;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;63;61;-2;1.71515560010448;1;-9;27;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;60;49;-11;0.841613299911842;1;3;28;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;17;29;12;1.96522949985228;1;43;29;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
