obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;100.578;97.7934;-2.78460000000001;1;1;9;1;NaN;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;227.606;233.322;5.71600000000001;1;1;9;2;-127.028;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;324.251;317.983;-6.26800000000003;1;1;9;3;-96.645;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;74.507;80.2267;5.71969999999999;1;1;9;4;-110.256;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;284.273;279.748;-4.52499999999998;1;1;9;5;150.234;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;217.823;98.1003;-119.7227;1;1;9;6;66.45;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;46.646;0.908999999999992;-45.737;1;1;9;7;171.177;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;1.727;1.90199999999999;0.174999999999926;1;1;9;8;44.919;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;352.764;356.359;3.595;1;1;9;9;8.96299999999997;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;127.6517;354.648;-133.0037;1;1;9;10;-134.8877;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;36.746;179.237684;142.491684;1;1;9;11;90.9057;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;257.239;266.251;9.01199999999997;1;1;9;12;139.507;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;89.0176;93.3444;4.32679999999999;1;1;9;13;168.2214;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;265.654;266.2;0.545999999999992;1;1;9;14;-176.6364;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;313.849;316.773;2.92400000000001;1;1;9;15;-48.195;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;190.078;181.091;-8.987;1;1;9;16;123.771;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;143.2502;351.579;-151.6712;1;1;9;17;46.8278;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;161.7078;168.9463;7.23849999999999;1;1;9;18;-18.4576;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;316.112;176.6922;-139.4198;2;1;9;1;-154.4042;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;349.122;352.639;3.51699999999997;2;1;9;2;-33.01;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;151.0605;163.2625;12.202;2;1;9;3;-161.9385;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;260.139;258.75;-1.38900000000001;2;1;9;4;-109.0785;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;62.754;324.169;-98.585;2;1;9;5;-162.615;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;85.7203;87.2378;1.51749999999998;2;1;9;6;-22.9663;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;237.242;241.773;4.53100000000001;2;1;9;7;-151.5217;Chetverikov & Jehee (2023);Experiment 1;Motion;1
