obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;60;18.5714285714286;-41.4285714285714;NaN;1;5.26681058655049;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;161.428571428571;26.4285714285714;-75;1;1.4166061536007;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;125.142857142857;5.14285714285714;15;1;2.61669470652578;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;26.8571428571429;11.8571428571429;-75;1;1.96667348062329;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;31.7142857142857;-58.2857142857143;-75;1;1.89998537422707;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;37;37;90;1;1.78333557139013;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;21.1428571428571;-23.8571428571429;-45;1;3.2333800046581;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;32.5714285714286;-12.4285714285714;0;1;2.7833558136881;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;128.571428571429;-6.42857142857144;-90;1;1.54996868145918;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;30;-15;90;1;2.3001060297247;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;98.2857142857143;8.28571428571428;-45;1;3.71676378692882;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;153.571428571429;3.57142857142856;-60;1;2.8666964884178;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;26.4285714285714;-33.5714285714286;90;1;2.11666263246207;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;25.8571428571429;-4.14285714285714;30;1;1.43332971252767;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;15.5714285714286;0.571428571428569;15;1;2.85002396288837;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;88.8571428571429;13.8571428571429;-60;1;2.16667621761007;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;30.1428571428571;-14.8571428571429;30;1;2.43334425276953;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;138;-12;75;1;2.41667685909124;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;151.428571428571;-13.5714285714286;-15;1;4.55011408387782;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;28.8571428571429;28.8571428571429;-15;1;2.35002296502898;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;101.571428571429;11.5714285714286;-90;1;3.90012279376788;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;82.8571428571429;7.85714285714286;15;1;2.65002607264978;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;17.7142857142857;2.71428571428572;60;1;2.83335542879922;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;157.857142857143;-7.14285714285714;30;1;3.75009116161436;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;71;-4;90;1;4.18344197174792;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;124.857142857143;-10.1428571428571;-60;1;2.78336550718177;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;62.1428571428571;2.14285714285714;75;1;2.48334814442205;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;102;12;-30;1;3.03337242092402;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;37.5714285714286;-22.4285714285714;30;1;2.33333703966946;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;140.428571428571;-24.5714285714286;75;1;2.4168020192119;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;172.428571428571;-7.57142857142856;-15;1;2.33334245662263;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;146.857142857143;-18.1428571428571;15;1;4.71678288881594;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;111.857142857143;6.85714285714286;60;1;2.15014424775291;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;100;-5;0;1;3.18345423116807;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;87.2857142857143;12.2857142857143;30;1;3.05005036340572;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;52.1428571428571;-7.85714285714286;15;1;5.85017079082081;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;46.5714285714286;-13.4285714285714;0;1;3.16670586829969;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;56.7142857142857;-3.28571428571428;0;1;4.70013744805055;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;29.1428571428571;-0.857142857142861;30;1;2.53333293419018;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;156.571428571429;-8.42857142857144;45;1;3.58338842944522;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;28.8571428571429;-16.1428571428571;-60;1;1.94999525303865;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;111.285714285714;-8.71428571428572;-75;1;3.33337809446948;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;86.2857142857143;-3.71428571428571;30;1;2.40002685668151;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;102.285714285714;-17.7142857142857;-30;1;2.80005456867184;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;41.8571428571429;-3.14285714285714;75;1;2.35000813968509;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;130;-5;-90;1;1.66663644577238;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;136.857142857143;16.8571428571429;15;1;2.55001059156803;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;31.5714285714286;1.57142857142857;90;1;3.70006674256092;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;36;-9;-15;1;2.43334026133016;1;Cicchini et al. (2018);Experiment 2;Orientation;1
