obs;theta;resp;trial;block;rt;error;delta;study;experiment;stimulus;expnum
1;114;118;1;1;9;4;NaN;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;19;21;2;1;9;2;-85;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;1;12;3;1;9;11;18;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;82;73;4;1;9;-9;-81;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;151;157;5;1;9;6;-69;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;107;125;6;1;9;18;44;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;119;120;7;1;9;1;-12;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;51;63;8;1;9;12;68;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;35;60;9;1;9;25;16;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;151;149;10;1;9;-2;64;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;76;66;11;1;9;-10;75;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;39;54;12;1;9;15;37;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;171;169;13;1;9;-2;48;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;123;129;14;1;9;6;48;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;22;23;15;1;9;1;-79;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;148;146;16;1;9;-2;54;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;173;170;17;1;9;-3;-25;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;105;109;18;1;9;4;68;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;141;134;19;1;9;-7;-36;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;42;64;20;1;9;22;-81;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;20;37;21;1;9;17;22;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;156;157;22;1;9;1;44;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;42;47;23;1;9;5;-66;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;66;56;24;1;9;-10;-24;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;79;68;25;1;9;-11;-13;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;98;113;26;1;9;15;-19;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;110;111;27;1;9;1;-12;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;150;156;28;1;9;6;-40;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;151;159;29;1;9;8;-1;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;139;153;30;1;9;14;12;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;65;69;31;1;9;4;74;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;110;114;32;1;9;4;-45;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;125;120;33;1;9;-5;-15;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;152;147;34;1;9;-5;-27;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;23;21;35;1;9;-2;-51;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;15;15;36;1;9;0;8;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;93;110;37;1;9;17;-78;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;122;114;38;1;9;-8;-29;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;137;144;39;1;9;7;-15;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;154;156;40;1;9;2;-17;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;163;150;41;1;9;-13;-9;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;119;118;42;1;9;-1;44;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;40;39;43;1;9;-1;79;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;141;141;44;1;9;0;79;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;129;138;45;1;9;9;12;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;166;161;46;1;9;-5;-37;Fischer & Whitney (2014);Experiment 1b;Orientation;1
1;114;121;47;1;9;7;52;Fischer & Whitney (2014);Experiment 1b;Orientation;1
