obs;theta;resp;cond;rt;delta;error;study;experiment;stimulus;expnum
1;90;80;0.5;9;NaN;-10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;35;51.5;0.5;9;55;16.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;90;107;0.5;9;-55;17;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;27;26;0.5;9;63;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;10;19;0.5;9;17;9;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;154;136;0.5;9;36;-18;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;101;102;4;9;53;1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;168;172;0.5;9;-67;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;126;133;0.5;9;42;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;105;113.75;4;9;21;8.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;147;147;0.5;9;-42;0;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;159;159;0.5;9;-12;0;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;179;11.5;0.5;9;-20;12.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;1;8.5;4;9;-2;7.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;156;152;4;9;25;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;111;103;0.5;9;45;-8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;179;13.75;0.5;9;-68;14.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;95;84.75;0.5;9;84;-10.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;87;98;0.5;9;8;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;145;158;0.5;9;-58;13;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;42;34.25;0.5;9;-77;-7.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;90;89;4;9;-48;-1;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;163;170;0.5;9;-73;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;104;79;0.5;9;59;-25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;153;151;4;9;-49;-2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;133;129;4;9;20;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;106;104.25;4;9;27;-1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;45;41;4;9;61;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;120;146;4;9;-75;26;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;16;33;4;9;-76;17;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;113;113.25;4;9;83;0.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;119;135;0.5;9;-6;16;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;132;148.25;4;9;-13;16.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;161;161.25;0.5;9;-29;0.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;177;163.5;0.5;9;-16;-13.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;139;131;0.5;9;38;-8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;105;103.25;0.5;9;34;-1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;168;146.25;4;9;-63;-21.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;105;117.25;0.5;9;63;12.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;4;21.25;4;9;-79;17.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;22;18;4;9;-18;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;156;164;4;9;46;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;88;96;4;9;68;8;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;153;142;4;9;-65;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;38;30.5;4;9;-65;-7.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;100;105.25;0.5;9;-62;5.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;114;125;4;9;-14;11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;6;18;4;9;-72;12;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;111;115.5;4;9;75;4.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;66;65.25;0.5;9;45;-0.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;9;14;0.5;9;57;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;89;107.25;4;9;-80;18.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;35;39.75;0.5;9;54;4.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;23;37;0.5;9;12;14;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;37;38.75;0.5;9;-14;1.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;27;44;0.5;9;10;17;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;35;40;4;9;-8;5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;8;35;0.5;9;27;27;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;115;107.75;0.5;9;73;-7.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;51;44;0.5;9;64;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
