obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;70;65;-5;1.92432129999997;1;NaN;1;Houborg et al. (2023);Experiment 1;Orientation;1
1;157;165;8;6.01526579999972;1;-87;2;Houborg et al. (2023);Experiment 1;Orientation;1
1;50;33;-17;2.62793820000024;1;-73;3;Houborg et al. (2023);Experiment 1;Orientation;1
1;4;15;11;2.76206180000008;1;46;4;Houborg et al. (2023);Experiment 1;Orientation;1
1;114;143;29;2.95987319999949;1;70;5;Houborg et al. (2023);Experiment 1;Orientation;1
1;160;145;-15;2.39549819999957;1;-46;6;Houborg et al. (2023);Experiment 1;Orientation;1
1;37;39;2;1.96204790000047;1;-57;7;Houborg et al. (2023);Experiment 1;Orientation;1
1;50;48;-2;1.7630165999999;1;-13;8;Houborg et al. (2023);Experiment 1;Orientation;1
1;57;61;4;1.86147810000057;1;-7;9;Houborg et al. (2023);Experiment 1;Orientation;1
1;107;131;24;4.84751229999983;1;-50;10;Houborg et al. (2023);Experiment 1;Orientation;1
1;122;126;4;2.1457575000004;1;-15;11;Houborg et al. (2023);Experiment 1;Orientation;1
1;102;125;23;1.69614619999993;1;20;12;Houborg et al. (2023);Experiment 1;Orientation;1
1;27;29;2;1.79561339999964;1;75;13;Houborg et al. (2023);Experiment 1;Orientation;1
1;70;64;-6;1.71252840000034;1;-43;14;Houborg et al. (2023);Experiment 1;Orientation;1
1;159;147;-12;2.46188350000011;1;-89;15;Houborg et al. (2023);Experiment 1;Orientation;1
1;22;26;4;4.69766609999988;1;-43;16;Houborg et al. (2023);Experiment 1;Orientation;1
1;78;28;-50;3.38065490000008;1;-56;17;Houborg et al. (2023);Experiment 1;Orientation;1
1;102;161;59;3.26378980000027;1;-24;18;Houborg et al. (2023);Experiment 1;Orientation;1
1;134;141;7;3.14588579999963;1;-32;19;Houborg et al. (2023);Experiment 1;Orientation;1
1;121;119;-2;2.77894380000089;1;13;20;Houborg et al. (2023);Experiment 1;Orientation;1
1;130;132;2;2.96302490000016;2;-9;21;Houborg et al. (2023);Experiment 1;Orientation;1
1;15;16;1;3.14692749999995;2;-65;22;Houborg et al. (2023);Experiment 1;Orientation;1
1;165;154;-11;2.3630876999996;2;30;23;Houborg et al. (2023);Experiment 1;Orientation;1
1;41;25;-16;3.84601639999983;2;-56;24;Houborg et al. (2023);Experiment 1;Orientation;1
1;90;91;1;2.49602030000005;2;-49;25;Houborg et al. (2023);Experiment 1;Orientation;1
1;21;33;12;3.81195230000048;2;69;26;Houborg et al. (2023);Experiment 1;Orientation;1
1;63;24;-39;4.6973011;2;-42;27;Houborg et al. (2023);Experiment 1;Orientation;1
1;114;126;12;2.84545030000027;2;-51;28;Houborg et al. (2023);Experiment 1;Orientation;1
