obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;165;169;4;1.32471470010933;1;NaN;1;Houborg et al. (2023b);Experiment 1;Orientation;1
1;102;100;-2;1.208085799939;1;63;2;Houborg et al. (2023b);Experiment 1;Orientation;1
1;25;30;5;1.30847099993844;1;77;3;Houborg et al. (2023b);Experiment 1;Orientation;1
1;97;103;6;0.941606499953195;1;-72;4;Houborg et al. (2023b);Experiment 1;Orientation;1
1;12;17;5;0.974448499968275;1;85;5;Houborg et al. (2023b);Experiment 1;Orientation;1
1;100;101;1;2.32593000004999;1;-88;6;Houborg et al. (2023b);Experiment 1;Orientation;1
1;108;117;9;1.49186030006967;1;-8;7;Houborg et al. (2023b);Experiment 1;Orientation;1
1;26;44;18;0.774944000062533;1;82;8;Houborg et al. (2023b);Experiment 1;Orientation;1
1;81;47;-34;1.8424639001023;1;-55;9;Houborg et al. (2023b);Experiment 1;Orientation;1
1;121;130;9;0.992161500034854;1;-40;10;Houborg et al. (2023b);Experiment 1;Orientation;1
1;171;156;-15;2.24027870001737;1;-50;11;Houborg et al. (2023b);Experiment 1;Orientation;1
1;129;136;7;1.05828100000508;1;42;12;Houborg et al. (2023b);Experiment 1;Orientation;1
1;143;148;5;1.54025820002425;1;-14;13;Houborg et al. (2023b);Experiment 1;Orientation;1
1;179;1;2;1.70860829995945;1;-36;14;Houborg et al. (2023b);Experiment 1;Orientation;1
1;109;109;0;0.657830499927513;1;70;15;Houborg et al. (2023b);Experiment 1;Orientation;1
1;121;130;9;1.55990340001881;1;-12;16;Houborg et al. (2023b);Experiment 1;Orientation;1
1;89;88;-1;2.7746239999542;1;32;17;Houborg et al. (2023b);Experiment 1;Orientation;1
1;91;122;31;2.05910589999985;1;-2;18;Houborg et al. (2023b);Experiment 1;Orientation;1
1;64;52;-12;2.7423698999919;1;27;19;Houborg et al. (2023b);Experiment 1;Orientation;1
1;13;24;11;0.656870099948719;1;51;20;Houborg et al. (2023b);Experiment 1;Orientation;1
1;15;35;20;1.12450649996754;1;-2;21;Houborg et al. (2023b);Experiment 1;Orientation;1
1;124;134;10;4.25932270009071;1;71;22;Houborg et al. (2023b);Experiment 1;Orientation;1
1;11;32;21;1.70861450000666;1;-67;23;Houborg et al. (2023b);Experiment 1;Orientation;1
1;65;48;-17;1.64093769993633;1;-54;24;Houborg et al. (2023b);Experiment 1;Orientation;1
1;60;56;-4;1.10810720000882;1;5;25;Houborg et al. (2023b);Experiment 1;Orientation;1
1;62;75;13;2.15910920000169;1;-2;26;Houborg et al. (2023b);Experiment 1;Orientation;1
1;166;168;2;1.35806100000627;1;76;27;Houborg et al. (2023b);Experiment 1;Orientation;1
1;103;109;6;2.3932533999905;1;63;28;Houborg et al. (2023b);Experiment 1;Orientation;1
1;79;71;-8;1.79252100002486;1;24;29;Houborg et al. (2023b);Experiment 1;Orientation;1
1;156;157;1;1.89193659997545;1;-77;30;Houborg et al. (2023b);Experiment 1;Orientation;1
1;61;57;-4;1.75953549996484;1;-85;31;Houborg et al. (2023b);Experiment 1;Orientation;1
1;164;163;-1;1.04157299990766;1;77;32;Houborg et al. (2023b);Experiment 1;Orientation;1
1;19;29;10;2.29274090006948;1;-35;33;Houborg et al. (2023b);Experiment 1;Orientation;1
1;166;157;-9;1.07472270005383;1;33;34;Houborg et al. (2023b);Experiment 1;Orientation;1
1;93;89;-4;2.32618950004689;1;73;35;Houborg et al. (2023b);Experiment 1;Orientation;1
1;168;167;-1;3.19387930002995;1;-75;36;Houborg et al. (2023b);Experiment 1;Orientation;1
1;27;31;4;1.90904119994957;1;-39;37;Houborg et al. (2023b);Experiment 1;Orientation;1
1;22;26;4;1.40843139996286;1;5;38;Houborg et al. (2023b);Experiment 1;Orientation;1
1;175;4;9;1.00835130002815;1;27;39;Houborg et al. (2023b);Experiment 1;Orientation;1
1;114;127;13;0.755802600062452;1;61;40;Houborg et al. (2023b);Experiment 1;Orientation;1
1;103;120;17;1.22510579996742;1;11;41;Houborg et al. (2023b);Experiment 1;Orientation;1
1;160;158;-2;0.991471900022589;1;-57;42;Houborg et al. (2023b);Experiment 1;Orientation;1
1;98;111;13;1.92530010000337;1;62;43;Houborg et al. (2023b);Experiment 1;Orientation;1
1;51;69;18;1.67519090010319;1;47;44;Houborg et al. (2023b);Experiment 1;Orientation;1
1;65;54;-11;0.939957999973558;1;-14;45;Houborg et al. (2023b);Experiment 1;Orientation;1
1;62;56;-6;0.95612660003826;1;3;46;Houborg et al. (2023b);Experiment 1;Orientation;1
1;72;65;-7;0.958145899930969;1;-10;47;Houborg et al. (2023b);Experiment 1;Orientation;1
1;149;144;-5;0.889482600032352;1;-77;48;Houborg et al. (2023b);Experiment 1;Orientation;1
1;82;69;-13;2.00898929999676;1;67;49;Houborg et al. (2023b);Experiment 1;Orientation;1
1;16;28;12;2.95993560005445;1;66;50;Houborg et al. (2023b);Experiment 1;Orientation;1
1;134;133;-1;1.7424170000013;1;62;51;Houborg et al. (2023b);Experiment 1;Orientation;1
1;155;142;-13;1.09160410007462;1;-21;52;Houborg et al. (2023b);Experiment 1;Orientation;1
1;103;105;2;0.924605999956839;1;52;53;Houborg et al. (2023b);Experiment 1;Orientation;1
1;126;124;-2;0.974494399968535;1;-23;54;Houborg et al. (2023b);Experiment 1;Orientation;1
1;98;107;9;1.60911850002594;1;28;55;Houborg et al. (2023b);Experiment 1;Orientation;1
1;122;126;4;0.842354799970053;1;-24;56;Houborg et al. (2023b);Experiment 1;Orientation;1
1;119;121;2;1.29135259997565;1;3;57;Houborg et al. (2023b);Experiment 1;Orientation;1
1;172;166;-6;1.6898503000848;1;-53;58;Houborg et al. (2023b);Experiment 1;Orientation;1
1;94;87;-7;1.49219170003198;1;78;59;Houborg et al. (2023b);Experiment 1;Orientation;1
1;99;109;10;2.05915159999859;1;-5;60;Houborg et al. (2023b);Experiment 1;Orientation;1
1;163;160;-3;1.17487550002988;2;-64;61;Houborg et al. (2023b);Experiment 1;Orientation;1
1;142;144;2;1.15835759998299;2;21;62;Houborg et al. (2023b);Experiment 1;Orientation;1
1;64;55;-9;1.75845820002723;2;78;63;Houborg et al. (2023b);Experiment 1;Orientation;1
1;47;46;-1;1.78983909997623;2;17;64;Houborg et al. (2023b);Experiment 1;Orientation;1
1;125;123;-2;1.54194090003148;2;-78;65;Houborg et al. (2023b);Experiment 1;Orientation;1
1;70;65;-5;1.62578390003182;2;55;66;Houborg et al. (2023b);Experiment 1;Orientation;1
1;77;71;-6;1.80855119996704;2;-7;67;Houborg et al. (2023b);Experiment 1;Orientation;1
1;177;3;6;1.89212040009443;2;80;68;Houborg et al. (2023b);Experiment 1;Orientation;1
1;11;20;9;10.0511958999559;2;-14;69;Houborg et al. (2023b);Experiment 1;Orientation;1
1;142;126;-16;1.5420138000045;2;49;70;Houborg et al. (2023b);Experiment 1;Orientation;1
1;139;128;-11;1.04131450003479;2;3;71;Houborg et al. (2023b);Experiment 1;Orientation;1
1;109;115;6;0.724803500110283;2;30;72;Houborg et al. (2023b);Experiment 1;Orientation;1
1;112;120;8;0.740947999991477;2;-3;73;Houborg et al. (2023b);Experiment 1;Orientation;1
1;100;112;12;0.69132870004978;2;12;74;Houborg et al. (2023b);Experiment 1;Orientation;1
1;164;159;-5;1.34155470004771;2;-64;75;Houborg et al. (2023b);Experiment 1;Orientation;1
1;121;120;-1;2.37626090005506;2;43;76;Houborg et al. (2023b);Experiment 1;Orientation;1
1;86;77;-9;2.24231310002506;2;35;77;Houborg et al. (2023b);Experiment 1;Orientation;1
1;121;116;-5;1.01022029994056;2;-35;78;Houborg et al. (2023b);Experiment 1;Orientation;1
1;144;150;6;1.52528540010098;2;-23;79;Houborg et al. (2023b);Experiment 1;Orientation;1
1;122;123;1;1.07498130004387;2;22;80;Houborg et al. (2023b);Experiment 1;Orientation;1
1;15;19;4;1.47661100002006;2;-73;81;Houborg et al. (2023b);Experiment 1;Orientation;1
1;65;65;0;1.27537739998661;2;-50;82;Houborg et al. (2023b);Experiment 1;Orientation;1
1;0;172;-8;1.18970699992497;2;65;83;Houborg et al. (2023b);Experiment 1;Orientation;1
1;115;125;10;0.975361399934627;2;65;84;Houborg et al. (2023b);Experiment 1;Orientation;1
1;164;169;5;1.44098860002123;2;-49;85;Houborg et al. (2023b);Experiment 1;Orientation;1
1;78;73;-5;1.40875349997077;2;86;86;Houborg et al. (2023b);Experiment 1;Orientation;1
1;100;86;-14;1.52528800000437;2;-22;87;Houborg et al. (2023b);Experiment 1;Orientation;1
1;45;57;12;2.07592159998603;2;55;88;Houborg et al. (2023b);Experiment 1;Orientation;1
1;81;74;-7;1.64252540003508;2;-36;89;Houborg et al. (2023b);Experiment 1;Orientation;1
1;1;10;9;2.30902229994535;2;80;90;Houborg et al. (2023b);Experiment 1;Orientation;1
1;30;31;1;1.9087836999679;2;-29;91;Houborg et al. (2023b);Experiment 1;Orientation;1
1;100;111;11;1.03976970002986;2;-70;92;Houborg et al. (2023b);Experiment 1;Orientation;1
1;84;84;0;1.44217380008195;2;16;93;Houborg et al. (2023b);Experiment 1;Orientation;1
1;142;137;-5;2.05912210000679;2;-58;94;Houborg et al. (2023b);Experiment 1;Orientation;1
1;105;114;9;0.991265500080772;2;37;95;Houborg et al. (2023b);Experiment 1;Orientation;1
1;116;135;19;1.75889069994446;2;-11;96;Houborg et al. (2023b);Experiment 1;Orientation;1
1;158;134;-24;2.52635429997463;2;-42;97;Houborg et al. (2023b);Experiment 1;Orientation;1
1;74;64;-10;1.90882270003203;2;84;98;Houborg et al. (2023b);Experiment 1;Orientation;1
1;175;171;-4;2.04181219998281;2;79;99;Houborg et al. (2023b);Experiment 1;Orientation;1
1;92;82;-10;1.95950649993028;2;83;100;Houborg et al. (2023b);Experiment 1;Orientation;1
1;97;108;11;1.92568880005274;2;-5;101;Houborg et al. (2023b);Experiment 1;Orientation;1
1;77;64;-13;1.87568149995059;2;20;102;Houborg et al. (2023b);Experiment 1;Orientation;1
1;102;113;11;1.2246028999798;2;-25;103;Houborg et al. (2023b);Experiment 1;Orientation;1
1;163;159;-4;1.97621880006045;2;-61;104;Houborg et al. (2023b);Experiment 1;Orientation;1
1;80;77;-3;1.82357410003897;2;83;105;Houborg et al. (2023b);Experiment 1;Orientation;1
1;176;172;-4;0.958125100005418;2;84;106;Houborg et al. (2023b);Experiment 1;Orientation;1
1;56;64;8;1.1895495998906;2;-60;107;Houborg et al. (2023b);Experiment 1;Orientation;1
1;144;128;-16;1.99266639992129;2;-88;108;Houborg et al. (2023b);Experiment 1;Orientation;1
1;55;53;-2;1.10806660004891;2;89;109;Houborg et al. (2023b);Experiment 1;Orientation;1
1;6;14;8;1.35599190008361;2;49;110;Houborg et al. (2023b);Experiment 1;Orientation;1
1;54;58;4;1.52568969991989;2;-48;111;Houborg et al. (2023b);Experiment 1;Orientation;1
1;40;42;2;1.02581449993886;2;14;112;Houborg et al. (2023b);Experiment 1;Orientation;1
1;132;139;7;1.29167669999879;2;88;113;Houborg et al. (2023b);Experiment 1;Orientation;1
1;73;70;-3;1.07515170006081;2;59;114;Houborg et al. (2023b);Experiment 1;Orientation;1
1;105;105;0;1.13905749993864;2;-32;115;Houborg et al. (2023b);Experiment 1;Orientation;1
1;135;131;-4;1.22488930006512;2;-30;116;Houborg et al. (2023b);Experiment 1;Orientation;1
1;160;140;-20;1.25871680001728;2;-25;117;Houborg et al. (2023b);Experiment 1;Orientation;1
1;133;137;4;1.04102110001259;2;27;118;Houborg et al. (2023b);Experiment 1;Orientation;1
1;99;84;-15;1.50648729992099;2;34;119;Houborg et al. (2023b);Experiment 1;Orientation;1
1;60;44;-16;1.60909070004709;2;39;120;Houborg et al. (2023b);Experiment 1;Orientation;1
