obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;174;174;0;2.75318884849548;1;NaN;Lau & Maus (2019);Experiment 1;Orientation;1
1;104;109;5;0.923211812973022;1;70;Lau & Maus (2019);Experiment 1;Orientation;1
1;55;46;-9;2.03285884857178;1;49;Lau & Maus (2019);Experiment 1;Orientation;1
1;99;98;-1;1.41292905807495;1;-44;Lau & Maus (2019);Experiment 1;Orientation;1
1;150;164;14;1.36292314529419;1;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;40;35;-5;0.992983102798462;1;-70;Lau & Maus (2019);Experiment 1;Orientation;1
1;16;6;-10;1.22287201881409;1;24;Lau & Maus (2019);Experiment 1;Orientation;1
1;47;48;1;0.922990798950195;1;-31;Lau & Maus (2019);Experiment 1;Orientation;1
1;8;6;-2;1.3130989074707;1;39;Lau & Maus (2019);Experiment 1;Orientation;1
1;123;140;17;0.933286905288696;1;65;Lau & Maus (2019);Experiment 1;Orientation;1
1;94;93;-1;1.07319688796997;1;29;Lau & Maus (2019);Experiment 1;Orientation;1
1;165;163;-2;0.844331979751587;1;-71;Lau & Maus (2019);Experiment 1;Orientation;1
1;33;19;-14;2.04279184341431;1;-48;Lau & Maus (2019);Experiment 1;Orientation;1
1;169;172;3;1.08294105529785;1;44;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;135;21;1.18278384208679;1;55;Lau & Maus (2019);Experiment 1;Orientation;1
1;94;97;3;1.13275098800659;1;20;Lau & Maus (2019);Experiment 1;Orientation;1
1;91;92;1;1.89279317855835;1;3;Lau & Maus (2019);Experiment 1;Orientation;1
1;137;151;14;1.13317012786865;1;-46;Lau & Maus (2019);Experiment 1;Orientation;1
1;26;21;-5;1.61297178268433;1;-69;Lau & Maus (2019);Experiment 1;Orientation;1
1;136;150;14;1.4029848575592;1;70;Lau & Maus (2019);Experiment 1;Orientation;1
1;36;24;-12;1.24308896064758;1;-80;Lau & Maus (2019);Experiment 1;Orientation;1
1;166;169;3;1.33282899856567;1;50;Lau & Maus (2019);Experiment 1;Orientation;1
1;57;38;-19;0.833384037017822;1;-71;Lau & Maus (2019);Experiment 1;Orientation;1
1;41;26;-15;1.4231059551239;1;16;Lau & Maus (2019);Experiment 1;Orientation;1
1;32;32;0;1.01317596435547;1;9;Lau & Maus (2019);Experiment 1;Orientation;1
1;139;145;6;1.31295609474182;1;73;Lau & Maus (2019);Experiment 1;Orientation;1
1;127;146;19;1.33296608924866;1;12;Lau & Maus (2019);Experiment 1;Orientation;1
1;54;32;-22;1.57335615158081;1;73;Lau & Maus (2019);Experiment 1;Orientation;1
1;175;174;-1;1.37334799766541;1;59;Lau & Maus (2019);Experiment 1;Orientation;1
1;18;9;-9;1.42278718948364;1;-23;Lau & Maus (2019);Experiment 1;Orientation;1
1;97;96;-1;1.78342795372009;1;-79;Lau & Maus (2019);Experiment 1;Orientation;1
1;124;157;33;1.18298196792603;1;-27;Lau & Maus (2019);Experiment 1;Orientation;1
1;143;159;16;1.83297085762024;1;-19;Lau & Maus (2019);Experiment 1;Orientation;1
1;154;161;7;0.933247089385986;1;-11;Lau & Maus (2019);Experiment 1;Orientation;1
1;4;178;-6;1.15284585952759;1;-30;Lau & Maus (2019);Experiment 1;Orientation;1
1;144;161;17;1.28328895568848;1;40;Lau & Maus (2019);Experiment 1;Orientation;1
1;129;151;22;1.48296689987183;1;15;Lau & Maus (2019);Experiment 1;Orientation;1
1;29;27;-2;1.2028911113739;1;-80;Lau & Maus (2019);Experiment 1;Orientation;1
1;168;170;2;0.973170042037964;1;41;Lau & Maus (2019);Experiment 1;Orientation;1
1;59;49;-10;0.822953939437866;1;-71;Lau & Maus (2019);Experiment 1;Orientation;1
1;43;39;-4;1.38320899009705;1;16;Lau & Maus (2019);Experiment 1;Orientation;1
1;116;112;-4;1.04328203201294;1;-73;Lau & Maus (2019);Experiment 1;Orientation;1
1;137;139;2;1.34339118003845;1;-21;Lau & Maus (2019);Experiment 1;Orientation;1
1;165;166;1;1.09297108650208;1;-28;Lau & Maus (2019);Experiment 1;Orientation;1
1;172;176;4;1.44333100318909;1;-7;Lau & Maus (2019);Experiment 1;Orientation;1
1;28;14;-14;1.36301898956299;1;-36;Lau & Maus (2019);Experiment 1;Orientation;1
1;42;31;-11;1.25273895263672;1;-14;Lau & Maus (2019);Experiment 1;Orientation;1
1;19;15;-4;0.803014993667603;1;23;Lau & Maus (2019);Experiment 1;Orientation;1
1;15;11;-4;1.28320407867432;1;4;Lau & Maus (2019);Experiment 1;Orientation;1
1;125;135;10;1.85294485092163;1;70;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;123;9;0.903168916702271;1;11;Lau & Maus (2019);Experiment 1;Orientation;1
1;140;155;15;1.07299280166626;1;-26;Lau & Maus (2019);Experiment 1;Orientation;1
1;59;46;-13;1.03309297561646;1;81;Lau & Maus (2019);Experiment 1;Orientation;1
1;8;3;-5;1.63280010223389;1;51;Lau & Maus (2019);Experiment 1;Orientation;1
1;160;162;2;1.5427348613739;1;28;Lau & Maus (2019);Experiment 1;Orientation;1
1;162;167;5;1.79335904121399;1;-2;Lau & Maus (2019);Experiment 1;Orientation;1
1;29;26;-3;0.982923030853271;1;-47;Lau & Maus (2019);Experiment 1;Orientation;1
1;116;109;-7;1.18305206298828;1;-87;Lau & Maus (2019);Experiment 1;Orientation;1
1;84;69;-15;1.33341503143311;1;32;Lau & Maus (2019);Experiment 1;Orientation;1
1;176;174;-2;1.1128671169281;1;88;Lau & Maus (2019);Experiment 1;Orientation;1
1;31;28;-3;0.833216190338135;1;-35;Lau & Maus (2019);Experiment 1;Orientation;1
1;173;1;8;1.39329600334167;1;38;Lau & Maus (2019);Experiment 1;Orientation;1
1;73;60;-13;1.37296104431152;1;-80;Lau & Maus (2019);Experiment 1;Orientation;1
1;74;71;-3;0.942987203598022;1;-1;Lau & Maus (2019);Experiment 1;Orientation;1
1;152;159;7;1.30308794975281;1;-78;Lau & Maus (2019);Experiment 1;Orientation;1
1;35;33;-2;0.693275928497314;1;-63;Lau & Maus (2019);Experiment 1;Orientation;1
1;165;166;1;1.02374601364136;1;50;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;117;3;1.2433021068573;1;51;Lau & Maus (2019);Experiment 1;Orientation;1
1;39;29;-10;1.13307595252991;1;75;Lau & Maus (2019);Experiment 1;Orientation;1
1;49;40;-9;1.19289994239807;1;-10;Lau & Maus (2019);Experiment 1;Orientation;1
1;162;168;6;0.832998037338257;1;67;Lau & Maus (2019);Experiment 1;Orientation;1
1;152;159;7;1.02291202545166;1;10;Lau & Maus (2019);Experiment 1;Orientation;1
1;60;57;-3;1.23286509513855;1;-88;Lau & Maus (2019);Experiment 1;Orientation;1
1;46;42;-4;0.693013906478882;1;14;Lau & Maus (2019);Experiment 1;Orientation;1
1;18;4;-14;1.3436222076416;1;28;Lau & Maus (2019);Experiment 1;Orientation;1
1;178;175;-3;1.48329281806946;1;20;Lau & Maus (2019);Experiment 1;Orientation;1
1;105;116;11;1.45284795761108;1;73;Lau & Maus (2019);Experiment 1;Orientation;1
1;72;65;-7;1.17315196990967;1;33;Lau & Maus (2019);Experiment 1;Orientation;1
1;126;123;-3;1.15297198295593;1;-54;Lau & Maus (2019);Experiment 1;Orientation;1
1;160;167;7;0.933132886886597;1;-34;Lau & Maus (2019);Experiment 1;Orientation;1
1;90;93;3;1.26317477226257;1;70;Lau & Maus (2019);Experiment 1;Orientation;1
1;18;14;-4;0.983073949813843;1;72;Lau & Maus (2019);Experiment 1;Orientation;1
1;134;138;4;0.943016052246094;1;64;Lau & Maus (2019);Experiment 1;Orientation;1
1;73;62;-11;1.00301003456116;1;61;Lau & Maus (2019);Experiment 1;Orientation;1
1;11;6;-5;1.27299690246582;1;62;Lau & Maus (2019);Experiment 1;Orientation;1
