delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
0;32.7663452241951;33.0829909369309;0.316645712735863;2.37577038500058;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-20;52.7663452241951;38.537331080412;-14.2290141437831;0.652795743000752;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;302.766345224195;314.62100404985;11.8546588256548;0.713480058000641;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-50;352.766345224195;335.605212066365;-17.1611331578301;0.849943249999342;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-80;72.766345224195;50.0704801423625;-22.6958650818326;1.53450655300003;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
140;292.766345224195;308.297462543189;15.5311173189937;0.891572693999478;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
150;142.766345224195;140.374206585027;-2.39213863916822;0.95009683599892;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
70;72.766345224195;53.7698923081143;-18.9964529160807;1.37476558900016;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;352.766345224195;339.216554711038;-13.5497905131573;0.900680406000902;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
180;172.766345224195;169.171632431575;-3.59471279262036;1.19187554500058;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-160;332.766345224195;324.224744200943;-8.54160102325227;1.33543891699992;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;62.766345224195;57.2586728749296;-5.50767234926542;0.984940660000575;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;182.766345224195;183.693935978862;0.92759075466688;1.16977648899956;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;172.766345224195;170.013078800772;-2.75326642342304;1.07876480499908;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-40;212.766345224195;199.277239407418;-13.4891058167775;1.15778234699974;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;212.766345224195;204.758547525707;-8.00779769848833;0.799303841999063;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;132.766345224195;138.096372300369;5.33002707617402;1.08342903000084;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
40;92.766345224195;93.0090896901568;0.242744465961792;1.29132643199955;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;332.766345224195;335.999079596096;3.23273437190113;0.916130724999675;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;212.766345224195;214.805437136096;2.03909191190118;1.65000109999892;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
100;112.766345224195;122.819466220786;10.0531209965911;0.959044399000049;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;82.766345224195;66.0578980796116;-16.7084471445834;1.11755586400068;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-130;212.766345224195;211.00597660704;-1.76036861715488;0.843675781999991;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-140;352.766345224195;6.2298760140888;13.4635307898938;0.607682431000285;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-40;32.766345224195;31.3707789027856;-1.39556632140948;0.994775436000054;4;1;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
