obs;theta;resp;error;rt;block;delta;trial;cond;study;experiment;stimulus;expnum
1;158;155.5;-2.5;1.103432699525;1;NaN;1;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;179;15;16;3.07953934108446;1;-21;2;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;74;68;-6;1.81570007797472;1;-75;3;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;99;124;25;1.93870605678785;1;-25;4;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;165;146.5;-18.5;1.33721094288376;1;-66;5;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;60;40.5;-19.5;2.54363806471974;1;-75;6;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;22;53.5;31.5;1.30953002185379;1;38;7;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;38;-15;2.22898093988715;1;-31;8;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;144;NaN;NaN;2.0087032651245;1;89;9;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;102;114.5;12.5;1.73914074895947;1;42;10;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;89;105.5;16.5;0.986042207329774;1;13;11;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;93;112;19;0.933966044171029;1;-4;12;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;69;NaN;NaN;2.00872242360128;1;24;13;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;158;154.5;-3.5;2.32772852284052;1;-89;14;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;18;NaN;NaN;2.00870360724002;1;-40;15;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;87;62;-25;2.33792288559471;1;-69;16;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;77;NaN;NaN;2.00870771262726;1;10;17;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;89;109.5;20.5;1.63545198937481;1;-12;18;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;89;108.5;19.5;1.52587199794198;1;0;19;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;120;119;-1;1.21301953327202;1;-31;20;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;NaN;NaN;2.00869539646374;1;67;21;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;35;52.5;17.5;2.65943600846731;1;18;22;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;53;NaN;NaN;2.00871113378435;1;-18;23;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;143;141;-2;1.13613485225324;1;-90;24;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;120;NaN;NaN;2.00869334376966;1;23;25;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;44;31;-13;1.22601650760043;1;76;26;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;57;NaN;NaN;2.00869094896007;1;-13;27;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;171;165.5;-5.5;1.02427910737879;1;66;28;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;164;NaN;NaN;2.00871421282591;1;7;29;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;154;150.5;-3.5;1.59832867583373;1;10;30;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;0;NaN;NaN;2.00869676492675;1;-26;31;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;93;114.5;21.5;2.85380252656432;1;87;32;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;5;NaN;NaN;2.00869710704228;1;88;33;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;136;136.5;0.5;3.27469238310823;1;49;34;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;132;NaN;NaN;2.00870873897566;1;4;35;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;10;29.5;19.5;1.83861566982796;1;-58;36;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;100;NaN;NaN;2.00869950185188;1;-90;37;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;37;55.5;18.5;2.06832273670625;1;63;38;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;75;73.5;-1.5;1.77375464405577;1;-38;39;1;Pascucci et al. (2024);Experiment 1;Orientation;1
1;12;41.5;29.5;2.23424883698499;1;63;40;1;Pascucci et al. (2024);Experiment 1;Orientation;1
