obs;theta;delta;trial;block;rt;error;resp;study;experiment;stimulus;expnum
1;1;NaN;1;1;1.01153484266251;-5.53777250790665;175.462227492093;Sadil et al. (2022);Experiment 1;Orientation;1
1;117;64;2;1;0.892557288520038;-3.03751102542201;113.962488974578;Sadil et al. (2022);Experiment 1;Orientation;1
1;41;76;3;1;0.893758646212518;0.403282922371503;41.4032829223715;Sadil et al. (2022);Experiment 1;Orientation;1
1;41;0;4;1;0.874747013673186;1.1375947738882;42.1375947738882;Sadil et al. (2022);Experiment 1;Orientation;1
1;128;-87;5;1;0.915981043130159;-5.15959572852699;122.840404271473;Sadil et al. (2022);Experiment 1;Orientation;1
1;133;-5;6;1;0.831041749566793;-7.405311500957;125.594688499043;Sadil et al. (2022);Experiment 1;Orientation;1
1;6;-53;7;1;0.774245914071798;5.9518751300248;11.9518751300248;Sadil et al. (2022);Experiment 1;Orientation;1
1;117;69;8;1;0.861460542306304;0.824096384252996;117.824096384253;Sadil et al. (2022);Experiment 1;Orientation;1
1;4;-67;9;1;0.858587548136711;10.3399285013422;14.3399285013422;Sadil et al. (2022);Experiment 1;Orientation;1
1;154;30;10;1;0.867701866663992;-8.91183021661001;145.08816978339;Sadil et al. (2022);Experiment 1;Orientation;1
1;14;-40;11;1;0.860817605629563;1.4520106411297;15.4520106411297;Sadil et al. (2022);Experiment 1;Orientation;1
1;71;-57;12;1;1.10809500608593;6.60033357369019;77.6003335736902;Sadil et al. (2022);Experiment 1;Orientation;1
1;66;5;13;1;0.846858314238489;-1.22392339736081;64.7760766026392;Sadil et al. (2022);Experiment 1;Orientation;1
1;125;-59;14;1;0.809990223497152;-8.217095197825;116.782904802175;Sadil et al. (2022);Experiment 1;Orientation;1
1;126;-1;15;1;0.707127159461379;-2.30993247402;123.69006752598;Sadil et al. (2022);Experiment 1;Orientation;1
1;156;-30;16;1;0.922289678826928;-24.215483991748;131.784516008252;Sadil et al. (2022);Experiment 1;Orientation;1
