obs;theta;resp;error;rt;block;delta;trial;cond;study;experiment;stimulus;expnum
1;23;107.2109375;84.2109375;9;1;NaN;1;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;151;129.640625;-21.359375;9;1;52;2;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;4;173.015625;-10.984375;9;1;-33;3;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;153;142.5859375;-10.4140625;9;1;31;4;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;115;119.609375;4.609375;9;1;38;5;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;86;63.8359375;-22.1640625;9;1;29;6;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;107;120;13;9;1;-21;7;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;92.46875;2.46875;9;1;17;8;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;118;121.9375;3.9375;9;1;-28;9;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;78.9140625;-11.0859375;9;1;28;10;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;133.921875;-33.078125;9;1;-77;11;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;39;122.6796875;83.6796875;9;1;-52;12;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;12;148.546875;-43.453125;9;1;27;13;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;56;57.2265625;1.2265625;9;1;-44;14;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;92;106.5859375;14.5859375;9;1;-36;15;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;32;82.6015625;50.6015625;9;1;60;16;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;109;119.5078125;10.5078125;9;1;-77;17;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;26;45.3125;19.3125;9;1;83;18;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;99;97.390625;-1.609375;9;1;-73;19;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;97;101.0625;4.0625;9;1;2;20;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;81;86.1875;5.1875;9;1;16;21;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;35;45.90625;10.90625;9;1;46;22;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;163;92.15625;-70.84375;9;1;52;23;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;59;59.5390625;0.5390625;9;1;-76;24;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;24;25.40625;1.40625;9;1;35;25;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;176;5.296875;9.296875;9;1;28;26;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;1;42.0234375;41.0234375;9;1;-5;27;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;179;167.2265625;-11.7734375;9;1;2;28;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;146;150.6328125;4.6328125;9;1;33;29;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;166;138;-28;9;1;-20;30;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;67;52.9296875;-14.0703125;9;1;-81;31;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;88;73.59375;-14.40625;9;1;-21;32;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;106;117.5703125;11.5703125;9;1;-18;33;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;65;66.25;1.25;9;1;41;34;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;126;134.0390625;8.0390625;9;1;-61;35;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;128;123.125;-4.875;9;1;-2;36;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;78;67.625;-10.375;9;1;50;37;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;73;70;-3;9;1;5;38;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;65;47.671875;-17.328125;9;1;8;39;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;39;50.3984375;11.3984375;9;1;26;40;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;142;139.296875;-2.703125;9;1;77;41;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;107;119.7265625;12.7265625;9;1;35;42;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;138;125.078125;-12.921875;9;1;-31;43;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;45;93.390625;48.390625;9;1;-87;44;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;47;51.1953125;4.1953125;9;1;-2;45;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;58;53.5234375;-4.4765625;9;1;-11;46;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;142.6328125;-24.3671875;9;1;71;47;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;26;39.140625;13.140625;9;1;-39;48;1;Samaha et al. (2019);Experiment 1;Orientation;1
