obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
1;28;NaN;149;-10;-6.91496598639456;1.61626111924807;1.61626111924807;159;2;2;0;1;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-52;17;-14;-10.9149659863946;1.33298789757328;1.33298789757328;31;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;68;139;-4;-0.914965986394558;1.54960479653619;1.54960479653619;143;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;75;40;-28;-24.9149659863946;1.55792030969087;1.55792030969087;68;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-31;106;7;10.0850340136054;3.31603508170338;3.31603508170338;99;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;37;55;-7;-3.91496598639456;2.19953458241616;2.19953458241616;62;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;81;147;-14;-10.9149659863946;1.48293851223343;1.48293851223343;161;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-73;57;3;6.08503401360544;1.39963395682844;1.39963395682844;54;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;66;159;-9;-5.91496598639456;0.866372507942287;0.866372507942287;168;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-24;167;-25;-21.9149659863946;1.83285326516807;1.83285326516807;12;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-89;109;8;11.0850340136054;2.04121321305365;2.04121321305365;101;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;89;9;-3;0.0850340136054424;1.88288822129471;1.88288822129471;12;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
