obs;delta;resp;error;theta;rt;study;experiment;stimulus
1;NaN;266.74;31.74;235;2.1329;Fischer et al. (2020);Experiment 3;Motion
1;-100;167.81;-167.19;335;2.4661;Fischer et al. (2020);Experiment 3;Motion
1;170;172.63;7.63;165;2.1496;Fischer et al. (2020);Experiment 3;Motion
1;-10;157.32;-17.68;175;1.5831;Fischer et al. (2020);Experiment 3;Motion
1;140;64.063;29.063;35;5.2985;Fischer et al. (2020);Experiment 3;Motion
1;140;231.87;-23.13;255;3.4992;Fischer et al. (2020);Experiment 3;Motion
1;120;134.93;-0.0699999999999932;135;4.2322;Fischer et al. (2020);Experiment 3;Motion
1;70;69.449;4.449;65;3.4825;Fischer et al. (2020);Experiment 3;Motion
1;-10;81.921;6.92100000000001;75;2.5661;Fischer et al. (2020);Experiment 3;Motion
1;40;53.858;18.858;35;1.4832;Fischer et al. (2020);Experiment 3;Motion
1;160;216.57;-18.43;235;1.9996;Fischer et al. (2020);Experiment 3;Motion
1;-50;274.96;-10.04;285;2.0163;Fischer et al. (2020);Experiment 3;Motion
1;160;135.21;10.21;125;0.81674;Fischer et al. (2020);Experiment 3;Motion
1;140;350.36;5.36000000000001;345;3.3158;Fischer et al. (2020);Experiment 3;Motion
1;-30;70.866;55.866;15;5.5317;Fischer et al. (2020);Experiment 3;Motion
1;-140;144.28;-10.72;155;2.9825;Fischer et al. (2020);Experiment 3;Motion
1;-40;212.88;17.88;195;2.2496;Fischer et al. (2020);Experiment 3;Motion
1;0;235.56;40.56;195;1.5832;Fischer et al. (2020);Experiment 3;Motion
1;100;151.09;56.09;95;2.5162;Fischer et al. (2020);Experiment 3;Motion
1;50;69.449;24.449;45;2.5994;Fischer et al. (2020);Experiment 3;Motion
1;-10;62.646;7.646;55;1.5331;Fischer et al. (2020);Experiment 3;Motion
1;140;294.52;19.52;275;3.3159;Fischer et al. (2020);Experiment 3;Motion
1;-110;48.189;23.189;25;2.1829;Fischer et al. (2020);Experiment 3;Motion
1;-70;117.35;22.35;95;1.8831;Fischer et al. (2020);Experiment 3;Motion
1;-90;207.78;22.78;185;2.2829;Fischer et al. (2020);Experiment 3;Motion
1;-110;307.84;12.84;295;3.5158;Fischer et al. (2020);Experiment 3;Motion
1;10;284.6;-0.399999999999977;285;2.2996;Fischer et al. (2020);Experiment 3;Motion
1;10;297.64;22.64;275;1.9663;Fischer et al. (2020);Experiment 3;Motion
1;-50;130.11;165.11;325;2.2829;Fischer et al. (2020);Experiment 3;Motion
1;-40;58.394;53.394;5;0.63348;Fischer et al. (2020);Experiment 3;Motion
1;150;47.906;-167.094;215;1.4165;Fischer et al. (2020);Experiment 3;Motion
1;-100;309.83;-5.17000000000002;315;2.6494;Fischer et al. (2020);Experiment 3;Motion
1;-20;343.28;8.27999999999997;335;3.3992;Fischer et al. (2020);Experiment 3;Motion
1;80;232.72;-22.28;255;2.1163;Fischer et al. (2020);Experiment 3;Motion
1;-80;44.787;69.787;335;2.7993;Fischer et al. (2020);Experiment 3;Motion
1;90;246.61;1.61000000000001;245;1.8497;Fischer et al. (2020);Experiment 3;Motion
1;50;224.5;29.5;195;3.6157;Fischer et al. (2020);Experiment 3;Motion
1;-150;290.83;-54.17;345;1.8831;Fischer et al. (2020);Experiment 3;Motion
1;70;299.34;24.34;275;2.0663;Fischer et al. (2020);Experiment 3;Motion
1;80;204.66;9.66;195;1.6997;Fischer et al. (2020);Experiment 3;Motion
1;160;42.236;7.236;35;1.7497;Fischer et al. (2020);Experiment 3;Motion
1;80;319.18;4.18000000000001;315;1.833;Fischer et al. (2020);Experiment 3;Motion
