obs;block;trial;theta;resp;rt;cond;delta;error;study;experiment;stimulus
1;1;1;118;129.384653271428;1.41588333714276;2;NaN;11.3846532714282;Fritsche et al. (2020);Experiment 1;Orientation
1;1;2;165;162.915449035791;1.59952822857122;2;-47;-2.08455096420869;Fritsche et al. (2020);Experiment 1;Orientation
1;1;3;26;20.5783150134839;1.76620873142861;2;-41;-5.42168498651607;Fritsche et al. (2020);Experiment 1;Orientation
1;1;4;93;89.6821172133669;3.79955126857158;2;-67;-3.31788278663311;Fritsche et al. (2020);Experiment 1;Orientation
1;1;5;4;16.9222198242511;1.84952429714281;1;89;12.9222198242511;Fritsche et al. (2020);Experiment 1;Orientation
1;1;6;17;23.5018710558301;2.13292690285721;2;-13;6.50187105583008;Fritsche et al. (2020);Experiment 1;Orientation
1;1;7;115;123.114555918132;1.76621348571439;2;82;8.11455591813166;Fritsche et al. (2020);Experiment 1;Orientation
1;1;8;171;169.15715767242;1.89956827428568;2;-56;-1.8428423275798;Fritsche et al. (2020);Experiment 1;Orientation
1;1;9;166;139.076416332216;1.96618166857138;1;5;-26.9235836677843;Fritsche et al. (2020);Experiment 1;Orientation
1;1;10;136;159.412101152163;2.46622098285707;2;30;23.4121011521628;Fritsche et al. (2020);Experiment 1;Orientation
1;1;11;159;137.937486954907;1.83289965714266;1;-23;-21.0625130450927;Fritsche et al. (2020);Experiment 1;Orientation
1;1;12;109;106.558219866106;0.799499702857247;1;50;-2.44178013389394;Fritsche et al. (2020);Experiment 1;Orientation
1;1;13;173;21.5801679268359;2.44957110857149;2;-64;28.5801679268359;Fritsche et al. (2020);Experiment 1;Orientation
1;1;14;9;20.3177268319971;1.51618633142857;2;-16;11.3177268319971;Fritsche et al. (2020);Experiment 1;Orientation
1;1;15;12;18.6847959171837;2.13291702857146;1;-3;6.68479591718366;Fritsche et al. (2020);Experiment 1;Orientation
1;1;16;146;154.716303647375;2.53281901714286;2;46;8.71630364737513;Fritsche et al. (2020);Experiment 1;Orientation
1;1;17;93;97.938742319155;2.16620543999989;1;53;4.93874231915498;Fritsche et al. (2020);Experiment 1;Orientation
1;1;18;160;122.552037746547;2.61623003428576;1;-67;-37.4479622534529;Fritsche et al. (2020);Experiment 1;Orientation
1;1;19;95;110.084765223955;1.51620754285727;2;65;15.0847652239555;Fritsche et al. (2020);Experiment 1;Orientation
1;1;20;3;6.41944677038771;2.88281929142863;1;-88;3.41944677038771;Fritsche et al. (2020);Experiment 1;Orientation
1;1;21;29;20.9606920693786;1.2995653485716;1;-26;-8.0393079306214;Fritsche et al. (2020);Experiment 1;Orientation
1;1;22;11;9.01454344203107;1.78284251428568;1;18;-1.98545655796893;Fritsche et al. (2020);Experiment 1;Orientation
1;1;23;158;150.485439043827;2.09951195428562;2;33;-7.51456095617257;Fritsche et al. (2020);Experiment 1;Orientation
1;1;24;27;27.915608809904;1.26619611428578;1;-49;0.915608809903993;Fritsche et al. (2020);Experiment 1;Orientation
1;1;25;171;163.635802491613;1.99950665142865;1;36;-7.36419750838695;Fritsche et al. (2020);Experiment 1;Orientation
1;1;26;60;66.7438304628255;1.53288594285709;2;-69;6.74383046282553;Fritsche et al. (2020);Experiment 1;Orientation
1;1;27;54;59.0383916146642;1.11611757714286;1;6;5.03839161466423;Fritsche et al. (2020);Experiment 1;Orientation
1;1;28;165;135.747229622333;1.93285668571434;1;69;-29.252770377667;Fritsche et al. (2020);Experiment 1;Orientation
1;1;29;177;1.10878944940696;1.74953874285711;1;-12;4.10878944940697;Fritsche et al. (2020);Experiment 1;Orientation
1;1;30;57;70.414880958585;1.11628251428579;1;-60;13.414880958585;Fritsche et al. (2020);Experiment 1;Orientation
1;1;31;91;88.7576247888166;2.88287780571432;1;-34;-2.24237521118337;Fritsche et al. (2020);Experiment 1;Orientation
1;1;32;98;86.6682610155141;1.21620406857141;2;-7;-11.3317389844859;Fritsche et al. (2020);Experiment 1;Orientation
1;1;33;155;142.729624619132;1.86623963428565;1;-57;-12.2703753808682;Fritsche et al. (2020);Experiment 1;Orientation
1;1;34;54;53.3172207626567;0.882872685714347;2;-79;-0.682779237343262;Fritsche et al. (2020);Experiment 1;Orientation
1;1;35;69;70.0316705002798;1.29945087999999;2;-15;1.0316705002798;Fritsche et al. (2020);Experiment 1;Orientation
1;1;36;127;60.8758609343731;3.34953984000003;2;-58;-66.1241390656269;Fritsche et al. (2020);Experiment 1;Orientation
1;1;37;69;61.1360149408675;1.14953398857142;2;58;-7.86398505913246;Fritsche et al. (2020);Experiment 1;Orientation
1;1;38;151;64.2088413973598;1.16623542857155;1;-82;-86.7911586026402;Fritsche et al. (2020);Experiment 1;Orientation
1;1;39;10;33.1753305097934;1.14951606857153;1;-39;23.1753305097934;Fritsche et al. (2020);Experiment 1;Orientation
1;1;40;47;43.2040104794458;1.28283794285721;1;-37;-3.79598952055417;Fritsche et al. (2020);Experiment 1;Orientation
1;1;41;121;105.129232437461;1.41620150857148;1;-74;-15.8707675625388;Fritsche et al. (2020);Experiment 1;Orientation
1;1;42;14;48.4123949908467;1.61621138285727;1;-73;34.4123949908467;Fritsche et al. (2020);Experiment 1;Orientation
1;1;43;94;101.333943175274;1.81614701714284;1;-80;7.33394317527353;Fritsche et al. (2020);Experiment 1;Orientation
1;1;44;14;48.3511699653691;1.19953481142852;2;80;34.3511699653691;Fritsche et al. (2020);Experiment 1;Orientation
1;1;45;33;44.8116683639492;0.84949759999995;2;-19;11.8116683639492;Fritsche et al. (2020);Experiment 1;Orientation
1;1;46;56;45.8252870745285;0.782862628571593;1;-23;-10.1747129254715;Fritsche et al. (2020);Experiment 1;Orientation
1;1;47;60;60.1413388342811;1.64950418285707;2;-4;0.141338834281079;Fritsche et al. (2020);Experiment 1;Orientation
1;1;48;154;126.305189828576;2.24951734857154;2;86;-27.6948101714245;Fritsche et al. (2020);Experiment 1;Orientation
1;1;49;147;126.026173823717;1.79958418285696;2;7;-20.973826176283;Fritsche et al. (2020);Experiment 1;Orientation
