obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus
1;155;145;-10;1.53824429959059;1;NaN;1;Houborg et al. (2023b);Experiment 2;Orientation
1;146;143;-3;1.9399478007108;1;9;2;Houborg et al. (2023b);Experiment 2;Orientation
1;173;164;-9;1.15869709849358;1;-27;3;Houborg et al. (2023b);Experiment 2;Orientation
1;140;125;-15;2.24300380051136;1;33;4;Houborg et al. (2023b);Experiment 2;Orientation
1;158;155;-3;2.57528520002961;1;-18;5;Houborg et al. (2023b);Experiment 2;Orientation
1;130;123;-7;2.22625000029802;1;28;6;Houborg et al. (2023b);Experiment 2;Orientation
1;81;80;-1;1.07546309940517;1;49;7;Houborg et al. (2023b);Experiment 2;Orientation
1;3;16;13;1.39247979968786;1;78;8;Houborg et al. (2023b);Experiment 2;Orientation
1;126;117;-9;1.70921960100532;1;57;9;Houborg et al. (2023b);Experiment 2;Orientation
1;65;65;0;1.60908070020378;1;61;10;Houborg et al. (2023b);Experiment 2;Orientation
1;89;84;-5;1.70920180156827;1;-24;11;Houborg et al. (2023b);Experiment 2;Orientation
1;20;26;6;2.89091860130429;1;69;12;Houborg et al. (2023b);Experiment 2;Orientation
1;2;2;0;2.22621979936957;1;18;13;Houborg et al. (2023b);Experiment 2;Orientation
1;124;121;-3;1.42548680119216;1;58;14;Houborg et al. (2023b);Experiment 2;Orientation
1;36;44;8;1.14206380024552;1;88;15;Houborg et al. (2023b);Experiment 2;Orientation
1;88;91;3;2.04059519991279;1;-52;16;Houborg et al. (2023b);Experiment 2;Orientation
1;21;37;16;1.97640760056674;1;67;17;Houborg et al. (2023b);Experiment 2;Orientation
1;44;51;7;1.67574159987271;1;-23;18;Houborg et al. (2023b);Experiment 2;Orientation
1;75;75;0;1.47571259923279;1;-31;19;Houborg et al. (2023b);Experiment 2;Orientation
1;179;179;0;1.39215369895101;1;76;20;Houborg et al. (2023b);Experiment 2;Orientation
1;46;55;9;2.86017579957843;1;-47;21;Houborg et al. (2023b);Experiment 2;Orientation
1;84;86;2;2.66011090017855;1;-38;22;Houborg et al. (2023b);Experiment 2;Orientation
1;103;104;1;1.74251810088754;1;-19;23;Houborg et al. (2023b);Experiment 2;Orientation
1;41;47;6;3.66071450151503;1;62;24;Houborg et al. (2023b);Experiment 2;Orientation
1;146;133;-13;2.44208929874003;1;75;25;Houborg et al. (2023b);Experiment 2;Orientation
1;121;122;1;3.50898420065641;1;25;26;Houborg et al. (2023b);Experiment 2;Orientation
