obs;theta;resp;delta;error;cond;block;rt;study;experiment;stimulus
1;26;34;NaN;8;1;1;2.05150679894723;Kondo et al. (2022);Experiment 4;Orientation
1;161;159;45;-2;1;1;1.86075652495492;Kondo et al. (2022);Experiment 4;Orientation
1;113;127;48;14;1;1;3.39678372407798;Kondo et al. (2022);Experiment 4;Orientation
1;100;104;13;4;1;1;1.64888543298002;Kondo et al. (2022);Experiment 4;Orientation
1;52;38;48;-14;1;1;1.29905060993042;Kondo et al. (2022);Experiment 4;Orientation
1;163;0;69;17;1;1;2.4431825169595;Kondo et al. (2022);Experiment 4;Orientation
1;39;38;-56;-1;1;1;1.78460305707995;Kondo et al. (2022);Experiment 4;Orientation
1;148;169;71;21;1;1;1.04792917193845;Kondo et al. (2022);Experiment 4;Orientation
1;139;159;9;20;1;1;0.633679032907821;Kondo et al. (2022);Experiment 4;Orientation
1;92;85;47;-7;1;1;1.75868360092863;Kondo et al. (2022);Experiment 4;Orientation
1;140;152;-48;12;1;1;1.54713335295673;Kondo et al. (2022);Experiment 4;Orientation
1;74;68;66;-6;1;1;2.01812421297655;Kondo et al. (2022);Experiment 4;Orientation
1;11;2;63;-9;1;1;1.53719152498525;Kondo et al. (2022);Experiment 4;Orientation
1;45;57;-34;12;1;1;2.25729919492733;Kondo et al. (2022);Experiment 4;Orientation
1;169;178;56;9;1;1;2.8495624960633;Kondo et al. (2022);Experiment 4;Orientation
1;54;54;-65;0;1;1;1.53071235690732;Kondo et al. (2022);Experiment 4;Orientation
1;5;11;49;6;1;1;1.32424155296758;Kondo et al. (2022);Experiment 4;Orientation
1;63;55;-58;-8;1;1;1.56078923901077;Kondo et al. (2022);Experiment 4;Orientation
1;15;6;48;-9;1;1;1.11654426297173;Kondo et al. (2022);Experiment 4;Orientation
1;88;101;-73;13;1;1;1.42476770293433;Kondo et al. (2022);Experiment 4;Orientation
1;36;32;52;-4;1;1;2.10483323107474;Kondo et al. (2022);Experiment 4;Orientation
1;107;107;-71;0;1;1;2.04937498399522;Kondo et al. (2022);Experiment 4;Orientation
1;122;116;-15;-6;1;1;1.71491015492938;Kondo et al. (2022);Experiment 4;Orientation
1;92;82;30;-10;1;1;1.48927697096951;Kondo et al. (2022);Experiment 4;Orientation
1;146;158;-54;12;1;1;1.23547616100404;Kondo et al. (2022);Experiment 4;Orientation
1;27;28;-61;1;1;1;1.26422828692012;Kondo et al. (2022);Experiment 4;Orientation
1;179;3;28;4;1;1;1.52025556599256;Kondo et al. (2022);Experiment 4;Orientation
1;49;36;-50;-13;1;1;1.00502159795724;Kondo et al. (2022);Experiment 4;Orientation
1;55;40;-6;-15;1;1;1.0563707210822;Kondo et al. (2022);Experiment 4;Orientation
1;119;115;-64;-4;1;1;1.27338958205655;Kondo et al. (2022);Experiment 4;Orientation
1;177;179;-58;2;1;1;2.49489529593848;Kondo et al. (2022);Experiment 4;Orientation
1;12;24;-15;12;1;1;0.960623409016989;Kondo et al. (2022);Experiment 4;Orientation
1;42;31;-30;-11;1;1;1.33265502098948;Kondo et al. (2022);Experiment 4;Orientation
1;151;151;71;0;1;1;1.13521853706334;Kondo et al. (2022);Experiment 4;Orientation
1;121;149;30;28;1;1;1.6255465260474;Kondo et al. (2022);Experiment 4;Orientation
1;22;47;-81;25;1;1;1.35179511201568;Kondo et al. (2022);Experiment 4;Orientation
1;168;157;34;-11;1;1;1.11105358297937;Kondo et al. (2022);Experiment 4;Orientation
1;12;14;-24;2;1;1;1.41241107194219;Kondo et al. (2022);Experiment 4;Orientation
1;91;91;-79;0;1;1;1.14347509900108;Kondo et al. (2022);Experiment 4;Orientation
1;76;84;15;8;1;1;2.20663247408811;Kondo et al. (2022);Experiment 4;Orientation
1;157;149;-81;-8;1;1;1.15268420404755;Kondo et al. (2022);Experiment 4;Orientation
1;177;157;-20;-20;1;1;0.974793509929441;Kondo et al. (2022);Experiment 4;Orientation
1;3;3;-6;0;1;1;1.08877325407229;Kondo et al. (2022);Experiment 4;Orientation
1;131;131;52;0;1;1;1.40200221398845;Kondo et al. (2022);Experiment 4;Orientation
1;56;35;75;-21;1;1;0.886739621986635;Kondo et al. (2022);Experiment 4;Orientation
1;106;127;-50;21;1;1;1.81051749794278;Kondo et al. (2022);Experiment 4;Orientation
1;121;141;-15;20;1;1;1.51639780797996;Kondo et al. (2022);Experiment 4;Orientation
1;164;172;-43;8;1;1;0.970165918930434;Kondo et al. (2022);Experiment 4;Orientation
1;125;146;39;21;1;1;0.980741968029179;Kondo et al. (2022);Experiment 4;Orientation
1;19;39;-74;20;1;1;1.71701855096035;Kondo et al. (2022);Experiment 4;Orientation
1;82;77;-63;-5;1;2;1.72839212790132;Kondo et al. (2022);Experiment 4;Orientation
1;179;1;83;2;1;2;1.03388682904188;Kondo et al. (2022);Experiment 4;Orientation
1;137;158;42;21;1;2;1.06480338203255;Kondo et al. (2022);Experiment 4;Orientation
1;54;30;83;-24;1;2;1.33613937499467;Kondo et al. (2022);Experiment 4;Orientation
1;108;114;-54;6;1;2;0.938538230024278;Kondo et al. (2022);Experiment 4;Orientation
1;150;139;-42;-11;1;2;1.02586869697552;Kondo et al. (2022);Experiment 4;Orientation
1;59;55;-89;-4;1;2;0.67374545999337;Kondo et al. (2022);Experiment 4;Orientation
1;133;143;-74;10;1;2;0.992119639064185;Kondo et al. (2022);Experiment 4;Orientation
1;40;47;-87;7;1;2;1.25465194007847;Kondo et al. (2022);Experiment 4;Orientation
1;138;148;82;10;1;2;1.19267650600523;Kondo et al. (2022);Experiment 4;Orientation
1;94;114;44;20;1;2;2.09436242398806;Kondo et al. (2022);Experiment 4;Orientation
1;81;81;13;0;1;2;0.656726442044601;Kondo et al. (2022);Experiment 4;Orientation
1;60;62;21;2;1;2;2.09017807908822;Kondo et al. (2022);Experiment 4;Orientation
1;172;152;68;-20;1;2;0.956477428902872;Kondo et al. (2022);Experiment 4;Orientation
1;18;24;-26;6;1;2;1.04294956405647;Kondo et al. (2022);Experiment 4;Orientation
1;27;39;-9;12;1;2;1.1579006590182;Kondo et al. (2022);Experiment 4;Orientation
1;53;53;-26;0;1;2;1.38582938595209;Kondo et al. (2022);Experiment 4;Orientation
1;165;154;68;-11;1;2;1.61931824905332;Kondo et al. (2022);Experiment 4;Orientation
1;14;39;-29;25;1;2;1.1858422459336;Kondo et al. (2022);Experiment 4;Orientation
1;43;43;-29;0;1;2;1.03385916294064;Kondo et al. (2022);Experiment 4;Orientation
1;175;152;48;-23;1;2;0.480473149917088;Kondo et al. (2022);Experiment 4;Orientation
1;124;137;51;13;1;2;0.932494026026689;Kondo et al. (2022);Experiment 4;Orientation
1;120;135;4;15;1;2;2.16585986898281;Kondo et al. (2022);Experiment 4;Orientation
1;74;52;46;-22;1;2;1.47463743307162;Kondo et al. (2022);Experiment 4;Orientation
1;175;155;79;-20;1;2;0.936773697030731;Kondo et al. (2022);Experiment 4;Orientation
1;176;160;-1;-16;1;2;0.714339527999982;Kondo et al. (2022);Experiment 4;Orientation
1;20;47;-24;27;1;2;0.696248570922762;Kondo et al. (2022);Experiment 4;Orientation
1;67;48;-47;-19;1;2;0.54594261595048;Kondo et al. (2022);Experiment 4;Orientation
1;174;5;73;11;1;2;1.23464984307066;Kondo et al. (2022);Experiment 4;Orientation
1;19;47;-25;28;1;2;1.19916221208405;Kondo et al. (2022);Experiment 4;Orientation
1;116;130;83;14;1;2;1.17254558589775;Kondo et al. (2022);Experiment 4;Orientation
1;73;42;43;-31;1;2;1.46193407895043;Kondo et al. (2022);Experiment 4;Orientation
1;75;54;-2;-21;1;2;1.6220786209451;Kondo et al. (2022);Experiment 4;Orientation
1;87;87;-12;0;1;2;1.04569293593522;Kondo et al. (2022);Experiment 4;Orientation
1;32;44;55;12;1;2;0.68943357502576;Kondo et al. (2022);Experiment 4;Orientation
1;26;22;6;-4;1;2;0.555548383970745;Kondo et al. (2022);Experiment 4;Orientation
1;17;23;9;6;1;2;0.873368373024277;Kondo et al. (2022);Experiment 4;Orientation
1;27;22;-10;-5;1;2;0.855081922956742;Kondo et al. (2022);Experiment 4;Orientation
1;135;153;72;18;1;2;1.33815613598563;Kondo et al. (2022);Experiment 4;Orientation
1;137;161;-2;24;1;2;1.41780917195138;Kondo et al. (2022);Experiment 4;Orientation
1;28;45;-71;17;1;2;1.20934575702995;Kondo et al. (2022);Experiment 4;Orientation
1;171;150;37;-21;1;2;1.34771848109085;Kondo et al. (2022);Experiment 4;Orientation
1;44;48;-53;4;1;2;1.12184349505696;Kondo et al. (2022);Experiment 4;Orientation
1;99;106;-55;7;1;2;0.870816963957623;Kondo et al. (2022);Experiment 4;Orientation
1;120;126;-21;6;1;2;1.55522959504742;Kondo et al. (2022);Experiment 4;Orientation
1;53;67;67;14;1;2;2.05800265399739;Kondo et al. (2022);Experiment 4;Orientation
1;43;43;10;0;1;2;0.961637533036992;Kondo et al. (2022);Experiment 4;Orientation
1;40;38;3;-2;1;2;1.07704887900036;Kondo et al. (2022);Experiment 4;Orientation
1;55;44;-15;-11;1;2;1.40209022199269;Kondo et al. (2022);Experiment 4;Orientation
1;74;51;-19;-23;1;2;1.10987037501764;Kondo et al. (2022);Experiment 4;Orientation
1;90;89;-16;-1;1;3;1.6368995149387;Kondo et al. (2022);Experiment 4;Orientation
1;130;147;-40;17;1;3;0.977427863050252;Kondo et al. (2022);Experiment 4;Orientation
1;119;142;11;23;1;3;1.52199677890167;Kondo et al. (2022);Experiment 4;Orientation
1;104;131;15;27;1;3;1.05387047096156;Kondo et al. (2022);Experiment 4;Orientation
1;135;136;-31;1;1;3;0.767748231999576;Kondo et al. (2022);Experiment 4;Orientation
1;63;64;72;1;1;3;0.785520788980648;Kondo et al. (2022);Experiment 4;Orientation
1;89;94;-26;5;1;3;0.777941983076744;Kondo et al. (2022);Experiment 4;Orientation
1;95;84;-6;-11;1;3;1.03413095802534;Kondo et al. (2022);Experiment 4;Orientation
1;90;94;5;4;1;3;1.33562001294922;Kondo et al. (2022);Experiment 4;Orientation
1;36;43;54;7;1;3;0.751939067966305;Kondo et al. (2022);Experiment 4;Orientation
1;68;44;-32;-24;1;3;1.26136247604154;Kondo et al. (2022);Experiment 4;Orientation
1;45;47;23;2;1;3;1.0290218340233;Kondo et al. (2022);Experiment 4;Orientation
1;99;100;-54;1;1;3;1.39562895800918;Kondo et al. (2022);Experiment 4;Orientation
1;69;57;30;-12;1;3;0.825559761957265;Kondo et al. (2022);Experiment 4;Orientation
1;1;7;68;6;1;3;1.22557155392133;Kondo et al. (2022);Experiment 4;Orientation
1;47;46;-46;-1;1;3;0.961639233981259;Kondo et al. (2022);Experiment 4;Orientation
1;140;131;87;-9;1;3;1.73335425695404;Kondo et al. (2022);Experiment 4;Orientation
1;142;154;-2;12;1;3;0.807061761966906;Kondo et al. (2022);Experiment 4;Orientation
1;120;115;22;-5;1;3;1.28162528306711;Kondo et al. (2022);Experiment 4;Orientation
1;166;163;-46;-3;1;3;1.78882361901924;Kondo et al. (2022);Experiment 4;Orientation
1;27;45;-41;18;1;3;0.75679819600191;Kondo et al. (2022);Experiment 4;Orientation
1;107;134;-80;27;1;3;0.968534318031743;Kondo et al. (2022);Experiment 4;Orientation
1;78;69;29;-9;1;3;0.850888833985664;Kondo et al. (2022);Experiment 4;Orientation
1;131;145;-53;14;1;3;1.32527204998769;Kondo et al. (2022);Experiment 4;Orientation
1;81;53;50;-28;1;3;1.71230105403811;Kondo et al. (2022);Experiment 4;Orientation
1;171;170;-90;-1;1;3;1.0631963260239;Kondo et al. (2022);Experiment 4;Orientation
1;47;38;-56;-9;1;3;0.822565459064208;Kondo et al. (2022);Experiment 4;Orientation
1;55;36;-8;-19;1;3;1.08699971495662;Kondo et al. (2022);Experiment 4;Orientation
1;172;161;63;-11;1;3;1.0884978560498;Kondo et al. (2022);Experiment 4;Orientation
1;83;57;89;-26;1;3;1.49926720699295;Kondo et al. (2022);Experiment 4;Orientation
1;19;12;64;-7;1;3;0.955465944949538;Kondo et al. (2022);Experiment 4;Orientation
1;91;90;-72;-1;1;3;1.41664939606562;Kondo et al. (2022);Experiment 4;Orientation
1;15;34;76;19;1;3;1.56050203100313;Kondo et al. (2022);Experiment 4;Orientation
1;42;34;-27;-8;1;3;0.797233054996468;Kondo et al. (2022);Experiment 4;Orientation
1;158;164;64;6;1;3;1.00885046401527;Kondo et al. (2022);Experiment 4;Orientation
1;149;169;9;20;1;3;1.17970495205373;Kondo et al. (2022);Experiment 4;Orientation
1;85;79;64;-6;1;3;0.978619912988506;Kondo et al. (2022);Experiment 4;Orientation
1;79;72;6;-7;1;3;1.08286868000869;Kondo et al. (2022);Experiment 4;Orientation
1;22;9;57;-13;1;3;0.934282835922204;Kondo et al. (2022);Experiment 4;Orientation
1;177;16;25;19;1;3;1.392909746035;Kondo et al. (2022);Experiment 4;Orientation
1;156;172;21;16;1;3;0.998701832024381;Kondo et al. (2022);Experiment 4;Orientation
1;159;160;-3;1;1;3;0.994290875969455;Kondo et al. (2022);Experiment 4;Orientation
1;108;138;51;30;1;3;1.36886888800655;Kondo et al. (2022);Experiment 4;Orientation
1;33;61;75;28;1;3;1.76278227102011;Kondo et al. (2022);Experiment 4;Orientation
1;29;37;4;8;1;3;0.806915485998616;Kondo et al. (2022);Experiment 4;Orientation
1;154;160;55;6;1;3;1.16822720400523;Kondo et al. (2022);Experiment 4;Orientation
1;109;127;45;18;1;3;1.63478782295715;Kondo et al. (2022);Experiment 4;Orientation
1;128;137;-19;9;1;3;1.05689435999375;Kondo et al. (2022);Experiment 4;Orientation
1;96;84;32;-12;1;3;1.21707696595695;Kondo et al. (2022);Experiment 4;Orientation
1;19;48;77;29;1;3;0.944443261018023;Kondo et al. (2022);Experiment 4;Orientation
1;111;130;88;19;1;4;1.28036012197845;Kondo et al. (2022);Experiment 4;Orientation
1;76;56;35;-20;1;4;0.716690487926826;Kondo et al. (2022);Experiment 4;Orientation
1;18;15;58;-3;1;4;1.20281070098281;Kondo et al. (2022);Experiment 4;Orientation
1;29;30;-11;1;1;4;1.04717897402588;Kondo et al. (2022);Experiment 4;Orientation
1;155;159;54;4;1;4;0.888258217019029;Kondo et al. (2022);Experiment 4;Orientation
1;70;50;85;-20;1;4;1.47475295397453;Kondo et al. (2022);Experiment 4;Orientation
1;86;81;-16;-5;1;4;1.37644348596223;Kondo et al. (2022);Experiment 4;Orientation
1;17;28;69;11;1;4;1.16251264000311;Kondo et al. (2022);Experiment 4;Orientation
1;165;160;32;-5;1;4;1.0465992159443;Kondo et al. (2022);Experiment 4;Orientation
1;176;10;-11;14;1;4;1.00298390490934;Kondo et al. (2022);Experiment 4;Orientation
1;31;29;-35;-2;1;4;0.846065048011951;Kondo et al. (2022);Experiment 4;Orientation
1;125;128;86;3;1;4;1.32803931599483;Kondo et al. (2022);Experiment 4;Orientation
1;131;149;-6;18;1;4;1.65030908898916;Kondo et al. (2022);Experiment 4;Orientation
1;14;27;-63;13;1;4;1.13154273992404;Kondo et al. (2022);Experiment 4;Orientation
1;98;116;-84;18;1;4;1.45434201892931;Kondo et al. (2022);Experiment 4;Orientation
1;49;54;49;5;1;4;1.69645791791845;Kondo et al. (2022);Experiment 4;Orientation
1;55;36;-6;-19;1;4;1.3681223699823;Kondo et al. (2022);Experiment 4;Orientation
1;133;133;-78;0;1;4;1.22627802100033;Kondo et al. (2022);Experiment 4;Orientation
1;103;113;30;10;1;4;0.634491938049905;Kondo et al. (2022);Experiment 4;Orientation
1;102;100;1;-2;1;4;1.08797913894523;Kondo et al. (2022);Experiment 4;Orientation
1;33;24;69;-9;1;4;1.0179620468989;Kondo et al. (2022);Experiment 4;Orientation
1;106;129;-73;23;1;4;1.05051940097474;Kondo et al. (2022);Experiment 4;Orientation
1;133;132;-27;-1;1;4;1.15659815992694;Kondo et al. (2022);Experiment 4;Orientation
